Well,Date,water table depth,pH,Temp,Cond,ORP,DO,TC,NPOC,TIC,NH4,Cl,NO2,SO4,NO3,Li,sd,Be,sd,B,sd,Na,sd,Mg,sd,Al,sd,Si,sd,K,sd,V,sd,Cr,sd,Mn,sd,Ca,sd,Fe,sd,Se,sd,Ti,sd,Ni,sd,Co,sd,Cu,sd,Zn,sd,Ge,sd,Rb,sd,Sr,sd,Zr,sd,Mo,sd,Ag,sd,Cd,sd,Sn,sd,Sb,sd,Cs,sd,Ba,sd,Eu,sd,Pb,sd,Th,sd,U,sd,P,sd,As,sd
MC RW up,5/31/18,,8.22,17.3,191.7,51,,,,,,0.3434,0.0196,0.1075,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MC RW up,6/7/18,,8.02,9.6,176.1,-49,,1.86,0.09,1.771,,0.0096,0.0128,0.2311,0.0009,,,,,,,3.82E-05,3.98E-07,1.67E-04,7.40E-07,,,6.00E-05,4.59E-07,1.02E-05,2.06E-07,,,,,5.40E-08,6.78E-10,7.12E-04,3.23E-06,,,,,,,1.10E-08,2.60E-09,,,,,,,,,3.77E-09,2.54E-10,1.22E-06,1.25E-08,,,5.05E-09,6.37E-10,,,,,,,,,,,2.18E-07,3.47E-09,,,,,,,9.62E-10,9.55E-11,6.39E-06,1.17E-06,,
MC RW up,6/9/18,,7.75,10.1,176.3,-15,,2.165,0.093,2.072,,0.007,0.0129,0.2369,0.0036,,,,,,,3.34E-05,7.24E-07,1.67E-04,2.15E-06,,,6.11E-05,7.94E-07,1.02E-05,1.87E-07,,,,,5.16E-08,1.28E-09,7.15E-04,1.92E-06,,,,,,,9.17E-09,1.75E-09,,,4.21E-09,1.60E-09,,,,,3.91E-09,2.61E-10,1.23E-06,7.94E-09,,,5.87E-09,4.48E-10,,,,,,,,,,,2.21E-07,4.35E-09,,,,,,,1.01E-09,7.52E-11,6.69E-06,1.29E-06,,
MC RW up,6/12/18,,8.05,11.1,226,-36,,1.642,0.06,1.582,,0.007,0.0178,0.2439,0.0035,,,,,,,4.00E-05,8.29E-07,1.94E-04,2.50E-06,,,4.42E-05,4.86E-07,1.09E-05,3.30E-07,,,,,8.23E-08,1.71E-09,7.44E-04,3.51E-06,,,,,,,1.70E-08,2.15E-09,,,4.31E-09,2.18E-10,,,,,6.48E-09,4.62E-10,1.42E-06,7.86E-09,,,1.01E-08,7.53E-10,,,,,,,,,,,2.42E-07,3.92E-09,,,,,,,1.18E-09,6.32E-11,9.92E-06,1.33E-06,2.53E-09,4.96E-10
MC RW up,6/14/18,,8.11,10.4,179.7,15,,1.57,0.27,1.3,0.0015,0.0057,0.0124,0.246,0.0033,,,,,,,3.89E-05,9.47E-07,1.74E-04,2.41E-06,,,6.13E-05,6.87E-07,1.14E-05,3.17E-07,,,6.92E-09,7.80E-10,8.05E-08,1.30E-09,7.17E-04,3.25E-06,,,,,,,1.51E-08,1.37E-09,,,6.32E-09,5.31E-10,,,,,6.92E-09,3.19E-10,1.44E-06,1.21E-08,,,1.09E-08,4.47E-10,,,,,,,,,,,2.45E-07,5.44E-09,,,,,5.37E-10,2.74E-11,1.18E-09,9.84E-11,1.17E-05,1.59E-06,2.77E-09,7.76E-10
MC RW up,6/19/18,,,14.2,193.1,234,,1.571,0.075,1.497,,0.0075,0.0081,0.2486,0.0032,,,,,,,3.89E-05,4.15E-07,1.77E-04,1.90E-06,,,6.32E-05,7.83E-07,1.07E-05,3.51E-07,,,2.95E-09,5.57E-10,1.21E-07,5.35E-10,7.20E-04,1.42E-06,,,,,,,1.42E-08,1.30E-09,,,,,,,,,6.72E-09,2.25E-10,1.44E-06,1.15E-08,,,1.13E-08,8.61E-10,,,,,,,,,,,2.56E-07,3.06E-09,,,,,2.58E-10,5.80E-11,1.26E-09,5.75E-11,1.27E-05,1.56E-06,3.26E-09,1.01E-09
MC RW up,6/21/18,,,11.6,194.4,-78,,1.637,0.14,1.497,0.0011,0.0077,0.0202,0.2614,0.0029,,,,,,,4.29E-05,3.17E-07,1.70E-04,3.27E-06,,,6.13E-05,1.04E-06,1.25E-05,3.86E-07,,,6.35E-09,5.94E-10,1.04E-07,1.76E-09,6.75E-04,2.69E-06,,,,,,,1.67E-08,1.47E-09,,,1.03E-08,8.47E-10,,,,,7.12E-09,4.17E-10,1.38E-06,4.70E-09,,,1.05E-08,1.20E-09,,,,,,,,,,,2.35E-07,3.26E-09,,,,,1.39E-10,4.13E-11,1.29E-09,3.94E-11,1.35E-05,1.69E-06,2.89E-09,4.51E-10
MC RW up,6/27/18,,7.83,11.5,250,145,,1.593,0.074,1.519,,0.0088,0.0202,0.2922,0.0024,,,,,,,3.27E-05,7.48E-07,1.37E-04,9.60E-07,,,6.31E-05,6.55E-07,8.22E-06,1.45E-07,,,,,5.82E-08,6.42E-10,6.07E-04,3.32E-06,1.65E-07,3.60E-09,,,,,8.70E-09,5.60E-10,,,3.42E-09,7.50E-10,,,,,5.01E-09,3.28E-10,1.17E-06,1.31E-08,,,1.10E-08,5.32E-10,,,,,,,,,,,1.99E-07,2.96E-09,,,,,,,1.16E-09,7.37E-11,8.34E-06,1.93E-06,2.93E-09,1.32E-09
MC RW up,6/29/18,,8.07,,210,-4,,1.574,0.091,1.483,,0.0059,0.0189,0.2988,0.0020,,,,,,,3.65E-05,6.79E-07,1.52E-04,1.33E-06,,,6.44E-05,6.05E-07,9.88E-06,1.71E-07,,,,,7.69E-08,1.92E-09,6.81E-04,3.73E-06,1.80E-07,2.55E-09,,,,,9.86E-09,1.55E-09,,,4.86E-09,1.12E-09,,,,,5.64E-09,3.43E-10,1.32E-06,1.07E-08,,,1.14E-08,8.90E-10,,,,,,,,,,,2.27E-07,3.52E-09,,,,,,,1.33E-09,8.88E-11,7.67E-06,1.48E-06,3.00E-09,1.12E-09
MC RW up,7/2/18,,7.94,14.6,220,154,,1.779,0.091,1.687,,0.0059,0.0137,0.3167,0.0018,,,,,,,3.30E-05,6.12E-07,1.43E-04,6.58E-07,,,6.51E-05,5.60E-07,8.06E-06,1.35E-07,,,,,6.03E-08,1.27E-09,6.22E-04,1.60E-06,1.73E-07,4.39E-09,,,,,9.87E-09,5.79E-10,,,6.06E-09,7.52E-10,,,,,5.15E-09,3.55E-10,1.22E-06,9.32E-09,,,1.17E-08,7.48E-10,,,,,,,,,,,2.05E-07,3.04E-09,,,,,,,1.29E-09,8.49E-11,8.71E-06,1.91E-06,3.00E-09,9.25E-10
