date,chloride
YYYY-MM-DD,uM
2019-08-17,21.6626
2019-08-18,21.0391
2019-08-19,20.3961
2019-08-20,19.9071
2019-08-21,18.5753
2019-08-22,29.7831
2019-08-23,18.4622
2019-08-24,18.8883
2019-08-26,18.3999
2019-09-13,15.7817
2019-09-14,15.0212
2019-09-15,16.3576
2019-09-16,25.3348
2019-09-17,17.9195
2019-09-18,21.248
2019-09-19,18.608
2019-09-20,19.2521
2019-09-21,18.1125
2019-09-22,18.8128
2019-09-23,19.5139
2019-09-24,19.4879
2019-09-25,19.1859
2019-09-26,19.9271
2019-09-27,18.9841
2019-09-28,19.3338
2019-09-29,21.666
2019-09-30,21.5772
2019-10-01,19.2646
2019-10-02,19.4872
2019-10-03,20.4682
2019-10-04,22.831
2019-10-06,23.6264
2019-10-07,22.8539
2019-10-08,22.1918
2019-10-09,22.0164
2019-10-10,35.7338
2019-10-11,28.196
2019-10-12,26.7972
2019-10-18,163.0019
2019-11-22,33.5365
2019-11-25,33.1939
2019-11-29,30.8555
2019-12-06,30.7004
2019-12-09,30.7121
2019-12-13,31.0773
2019-12-16,30.3083
2019-12-20,29.9165
2019-12-27,30.6296
2019-12-29,29.3912
2019-12-31,29.9211
2020-01-03,27.4008
2020-01-07,28.231
2020-01-10,28.2444
2020-01-18,29.229
2020-01-21,27.361
2020-01-24,28.0393
2020-01-27,27.6337
2020-01-31,26.6568
2020-02-03,28.9707
2020-02-08,29.4802
2020-02-11,27.3239
2020-02-14,28.4594
2020-02-19,29.8384
2020-02-22,29.0298
2020-02-26,28.4577
2020-02-27,30.0422
2020-03-04,29.3226
2020-03-06,30.8449
2020-03-10,33.1099
2020-03-13,34.2229
2020-03-17,35.3234
2020-04-01,43.3284
2020-04-08,101.8205
2020-04-18,102.5524
2020-04-22,112.0328
2020-04-23,119.8854
2020-04-26,122.5684
2020-04-27,131.4511
2020-04-28,127.5541
2020-04-29,110.0061
2020-04-30,95.8095
2020-05-01,77.7711
2020-05-02,65.132
2020-05-03,55.8952
2020-05-04,49.6388
2020-05-05,46.4538
2020-05-06,43.6482
2020-05-07,41.5506
2020-05-08,37.9182
2020-05-09,36.8549
2020-05-10,39.159
2020-05-11,33.9928
2020-05-12,40.0817
2020-05-13,50.2712
2020-05-14,27.3102
2020-05-15,24.5219
2020-05-16,22.8435
2020-05-17,20.6196
2020-05-20,14.8829
2020-05-21,15.9898
2020-05-22,15.1741
2020-05-23,12.5242
2020-05-24,13.7436
2020-05-25,12.3883
2020-05-26,12.2704
2020-05-27,12.4372
2020-05-28,10.4652
2020-05-29,10.3552
2020-05-30,12.1993
2020-05-31,8.4618
2020-06-01,8.1622
2020-06-02,9.3185
2020-06-03,8.5118
2020-06-04,7.931
2020-06-05,8.3635
2020-06-06,12.9428
2020-06-07,11.863
2020-06-08,9.6161
2020-06-09,14.8629
2020-06-10,11.4038
2020-06-11,29.0001
2020-06-12,12.7242
2020-06-13,12.1224
2020-06-14,46.919
2020-06-18,12.6237
2020-06-20,11.5468
2020-06-22,11.5349
2020-06-24,17.2064
2020-06-26,21.3448
2020-06-28,15.0664
2020-06-30,13.1861
2020-07-02,14.8444
2020-07-04,16.0806
2020-07-06,15.4193
2020-07-08,16.4102
2020-07-10,13.463
2020-07-12,16.8462
2020-07-14,31.0978
2020-07-16,22.9527
2020-07-18,20.7582
2020-07-20,29.1774
2020-07-22,25.0931
2020-07-24,42.5989
2020-07-26,39.3116
2020-07-28,42.8134
2020-07-30,34.5579
2020-08-01,31.77
2020-08-03,27.54
2020-08-05,27.41
2020-08-07,25.1
2020-08-09,24.06
2020-08-11,24.2
2020-08-13,34.32
2020-08-15,23.47
2020-08-17,23.63
2020-08-19,22.54
2020-08-21,22.11
2020-08-23,22.37
2020-08-25,22.51
2020-08-27,48.4049
2020-08-29,67.3316
2020-08-31,54.0974
2020-09-02,34.5959
2020-09-04,28.0135
2020-09-06,26.7668
2020-09-08,27.0143
2020-09-10,62.5888
2020-09-12,48.594
2020-09-14,43.6991
2020-09-16,39.0482
2020-09-18,37.9795
2020-09-20,35.2878
2020-09-22,33.83
2020-09-24,33.64
2020-09-26,32.32
2020-09-28,32.01
2020-09-30,31.7
2020-10-01,31.01
2020-10-03,31.34
2020-10-05,29.97
2020-10-07,29.21
2020-10-09,29.55
2020-10-11,49.39
2020-10-13,35.51
2020-10-15,36.14
2020-10-17,34.29
2020-10-19,34.08
2020-10-21,31.42
2020-10-23,31.31
2020-10-29,46.05
2020-10-31,37.29
2020-11-02,36.48
2020-11-03,34.11
2020-11-07,33.6
2020-11-11,45.28
2020-11-17,43.1
2020-11-25,53.57
2020-12-03,43.94
2020-12-09,38.31
2020-12-16,34.14
2020-12-26,34.6
2020-12-31,37.68
2021-01-07,29.74
2021-01-14,27.11
2021-01-21,28.87
2021-01-28,31.95
2021-02-07,34.15
2021-02-11,33.74
2021-02-19,29.0168
2021-02-27,30.1678
2021-03-05,31.35
2021-03-12,34.05
2021-03-19,34.13
2021-03-21,53.38
2021-03-22,37.3
2021-03-26,38.39
2021-03-29,51.62
2021-04-03,99.59
2021-04-05,161.93
2021-04-07,166.15
2021-04-09,157.26
2021-04-12,114.97
2021-04-14,102.52
2021-04-16,101.51
2021-04-19,94.09
2021-04-28,82.33
2021-04-30,77.62
2021-05-02,58.04
2021-05-04,57.18
2021-05-06,34.28
2021-05-08,47.23
2021-05-10,38.15
2021-05-12,41.25
2021-05-14,37.28
2021-05-16,27.77
2021-05-18,23.45
2021-05-20,20.93
2021-05-22,19.0
2021-05-24,16.85
2021-05-26,14.32
2021-05-28,14.07
2021-05-30,23.01
2021-05-31,57.69
2021-06-01,13.66
2021-06-03,11.68
2021-06-05,12.19
2021-06-07,12.67
2021-06-09,10.6
2021-06-11,10.44
2021-06-13,10.68
2021-06-15,12.9
2021-06-17,16.26
2021-06-19,11.61
2021-06-21,16.21
2021-06-23,16.49
2021-06-25,54.67
2021-06-27,57.59
2021-06-29,74.5
2021-07-01,59.02
2021-07-03,47.04
2021-07-05,40.78
2021-07-07,45.79
2021-07-09,41.61
2021-07-11,35.86
2021-07-13,34.63
2021-07-15,45.91
2021-07-17,42.24
2021-07-19,34.35
2021-07-21,42.19
2021-07-23,37.19
2021-07-27,36.39
2021-07-29,59.56
2021-07-31,99.78
2021-08-02,92.62
2021-08-04,63.59
2021-08-06,54.33
2021-08-08,47.87
2021-08-10,43.69
2021-08-12,41.02
2021-08-14,38.4
2021-08-16,35.58
2021-08-18,46.94
2021-08-20,52.29
2021-08-22,42.46
2021-08-24,39.7
2021-08-26,39.54
2021-08-28,37.05
2021-08-30,35.7
2021-09-01,31.9
2021-09-03,42.74
2021-09-05,41.36
2021-09-07,40.02
2021-09-09,41.23
2021-09-11,37.62
2021-09-13,40.09
2021-09-15,37.03
