date,chloride
YYYY-MM-DD,uM
2014-07-30,6.3
2014-08-05,4.8
2014-08-21,5.8
2014-08-30,4.1000000000000005
2014-09-07,4.7
2014-09-14,9.299999999999999
2014-09-23,20.400000000000002
2014-10-01,11.2
2014-10-07,9.6
2014-10-14,10.5
2014-10-23,8.8
2014-10-31,7.5
2014-11-08,8.3
2015-03-16,5.5
2015-04-09,6.6
2015-05-02,6.4
2015-05-11,12.8
2015-05-24,9.700000000000001
2015-06-02,6.7
2015-06-11,8.7
2015-06-18,5.7
2015-06-25,5.2
2015-07-02,6.7
2015-07-09,6.3
2015-07-17,3.3
2015-07-25,5.3
2015-08-02,6.4
2015-08-09,6.6
2015-08-13,3.6
2015-08-16,7.0
2015-08-23,6.6
2015-08-30,6.2
2015-09-07,6.6
2015-09-13,8.9
2015-09-22,8.200000000000001
2015-09-28,5.8
2015-10-04,7.9
2015-10-13,9.5
2015-10-26,9.4
2015-11-02,7.8
2015-11-09,6.4
2015-11-15,8.5
2015-11-23,8.4
2016-03-09,8.7
2016-04-08,9.0
2016-04-21,11.0
2016-05-02,9.7753
2016-05-12,13.5272
2016-05-20,11.0975
2016-05-27,5.4701
2016-06-04,4.8768
2016-06-11,4.164
2016-06-17,5.9249
2016-06-27,5.4235
2016-07-08,3.5969
2016-07-15,5.366
2016-07-22,7.9254
2016-07-29,6.88
2016-08-05,3.61
2016-08-12,5.0263
2016-08-19,6.3132
2016-08-26,5.984
2016-09-02,5.4105
2016-09-09,4.7517
2016-09-16,5.1594
2016-09-23,11.1773
2016-09-30,6.6542
2016-10-12,7.9709
2016-10-19,6.187
