date,chloride
YYYY-MM-DD,uM
2021-03-03,11.31
2021-03-10,18.89
2021-03-19,7.92
2021-03-25,6.81
2021-03-30,6.79
2021-04-07,8.59
2021-04-14,9.92
2021-05-17,37.69
2021-05-28,8.56
2021-06-04,7.79
2021-06-11,5.33
2021-06-18,4.49
2021-06-24,6.93
2021-07-02,16.54
2021-07-09,61.67
2021-07-15,6.01
2021-07-23,5.59
2021-07-30,10.62
2021-08-06,6.61
2021-08-13,5.97
2021-08-19,7.33
2021-08-27,7.39
2021-09-03,11.0382
2021-10-01,11.43
2021-10-07,7.64
2021-10-15,11.46
2021-10-22,11.0
2021-10-27,8.86
2021-11-03,9.42
2021-11-11,6.57
