date,nitrate
YYYY-MM-DD,uM
2021-03-03,6.01
2021-03-10,5.49
2021-03-19,5.1
2021-03-25,4.98
2021-03-30,5.84
2021-04-07,10.37
2021-04-14,7.71
2021-05-17,11.32
2021-05-28,6.91
2021-06-04,9.41
2021-06-11,7.35
2021-06-18,4.45
2021-06-24,4.21
2021-07-02,4.48
2021-07-09,5.53
2021-07-15,4.41
2021-07-23,9.51
2021-07-30,4.47
2021-08-06,4.87
2021-08-13,3.28
2021-08-19,4.36
2021-08-27,5.2
2021-09-03,4.8471
2021-10-01,4.66
2021-10-07,1.59
2021-10-15,5.95
2021-10-22,5.53
2021-10-27,4.45
2021-11-03,4.56
2021-11-11,4.59
