date,chloride
YYYY-MM-DD,uM
2021-03-03,7.32
2021-03-10,7.98
2021-03-19,9.27
2021-03-25,6.98
2021-03-30,7.69
2021-04-07,18.31
2021-04-14,19.76
2021-05-17,23.79
2021-05-28,16.96
2021-06-04,10.08
2021-06-11,8.05
2021-06-18,14.8
2021-06-24,7.77
2021-07-02,24.04
2021-07-09,11.67
2021-07-15,10.7
2021-07-23,6.57
2021-07-30,9.08
2021-07-31,7.26
2021-08-06,8.43
2021-08-13,9.18
2021-08-19,24.02
2021-08-27,8.7
2021-09-03,13.3362
2021-10-01,12.01
2021-10-07,10.34
2021-10-15,15.73
2021-10-22,13.38
2021-10-27,11.97
2021-11-03,14.69
2021-11-11,11.73
