date,fluoride
YYYY-MM-DD,uM
2021-03-03,3.93
2021-03-10,6.56
2021-03-19,7.02
2021-03-25,3.4
2021-03-30,4.35
2021-04-07,5.38
2021-04-14,4.87
2021-05-17,21.14
2021-05-28,16.49
2021-06-04,7.01
2021-06-11,7.22
2021-06-18,19.73
2021-06-24,8.15
2021-07-02,4.25
2021-07-09,14.74
2021-07-15,10.06
2021-07-23,4.14
2021-07-30,4.13
2021-07-31,3.72
2021-08-06,4.11
2021-08-13,5.03
2021-08-19,2.97
2021-08-27,4.63
2021-09-03,3.0131
2021-10-01,3.53
2021-10-07,3.02
2021-10-15,4.88
2021-10-22,11.11
2021-10-27,4.21
2021-11-03,5.2
2021-11-11,4.37
