date,nitrate
YYYY-MM-DD,uM
2021-03-03,4.57
2021-03-10,4.02
2021-03-19,3.89
2021-03-25,3.96
2021-03-30,4.41
2021-04-07,6.93
2021-04-14,6.51
2021-05-17,5.62
2021-05-28,4.92
2021-06-04,6.8
2021-06-11,6.05
2021-06-18,4.78
2021-06-24,4.11
2021-07-02,3.85
2021-07-09,2.96
2021-07-15,3.29
2021-07-23,9.52
2021-07-30,2.71
2021-07-31,2.77
2021-08-06,3.41
2021-08-13,2.65
2021-08-19,2.7
2021-08-27,3.04
2021-09-03,3.6801
2021-10-01,2.1
2021-10-07,2.49
2021-10-15,3.46
2021-10-22,3.32
2021-10-27,2.62
2021-11-03,2.63
2021-11-11,2.91
