date,fluoride
YYYY-MM-DD,uM
2020-06-02,9.9502
2020-06-16,25.1075
2020-06-30,9.0453
2020-07-14,3.687
2020-07-21,11.1381
2020-07-29,13.1226
2020-08-04,9.1239
2020-08-12,11.2999
2020-08-19,2.24
2020-08-24,9.001
2020-09-02,9.43
2020-09-10,1.83
2020-09-14,3.08
2020-09-22,1.39
2020-09-29,1.82
2020-10-05,1.9
2020-10-13,1.58
2020-10-20,2.13
2020-10-28,7.68
2020-11-03,6.03
2020-11-10,4.01
2020-11-19,11.09
2020-12-03,2.63
2021-01-06,6.6881
2021-02-19,4.76
2021-03-09,10.6
2021-04-06,10.06
2021-04-28,11.52
2021-05-04,9.91
2021-05-13,7.9
2021-05-18,11.36
2021-05-27,24.24
2021-06-02,16.82
2021-06-08,18.21
2021-06-15,12.67
2021-06-22,7.05
2021-07-01,7.82
2021-07-07,10.96
2021-07-16,16.44
2021-07-27,11.39
2021-08-04,8.99
2021-08-10,4.57
2021-08-17,7.11
2021-08-24,8.81
2021-08-31,9.27
2021-09-08,10.06
2021-09-27,11.53
2021-10-15,11.07
2021-10-20,13.92
2021-10-28,7.69
2021-11-04,17.6
2021-11-08,12.38
2021-12-01,13.21
2022-01-07,9.12
2022-02-03,18.83
2022-03-03,9.91
