date,chloride
YYYY-MM-DD,uM
2020-05-21,17.8343
2020-05-27,14.661
2020-06-03,8.9379
2020-06-09,10.8269
2020-06-17,6.1851
2020-06-25,6.4705
2020-06-30,4.8065
2020-07-07,43.326
2020-07-14,3.4004
2020-07-21,11.206
2020-07-27,5.9582
2020-08-02,7.7134
2020-08-10,198.253
2020-08-18,4.8327
2020-08-24,6.2745
2020-08-31,7.25
2020-09-15,9.266
2020-09-22,7.5784
2020-09-28,6.5367
2020-10-08,7.2415
2020-10-14,8.1515
2020-10-22,7.2167
2020-11-11,7.69
2020-12-08,7.83
2020-12-29,3.56
2021-01-29,6.68
2021-02-09,4.01
2021-03-12,3.66
2021-04-16,19.13
2021-04-29,17.51
2021-05-12,14.52
2021-05-20,38.94
2021-05-26,15.99
2021-06-01,36.04
2021-06-08,18.38
2021-06-14,12.48
2021-06-21,3.79
2021-06-29,4.47
2021-07-08,7.51
2021-07-21,4.29
2021-07-27,13.38
2021-08-05,64.67
2021-08-11,9.29
2021-08-18,4.51
2021-08-26,4.7
2021-08-30,4.39
2021-09-12,4.06
2021-10-13,17.21
2021-11-06,10.49
2021-11-12,9.1
2021-12-16,37.53
2022-01-26,5.06
2022-02-15,7.66
