date,barium
YYYY-MM-DD,ppb
2019-05-30,31.99747
2019-06-12,34.67331
2019-06-19,18.95662
2019-06-29,18.57488
2019-07-15,18.90036
2019-07-18,18.65053
2019-07-24,23.16257
2019-07-30,18.94927
2019-08-06,17.32351
2019-08-14,17.72606
2019-08-21,17.19967
2020-01-15,18.54783
2020-02-08,18.24107
2020-02-18,39.84407
2020-03-05,17.98752
2020-03-18,18.45442
2020-03-30,18.67951
2020-08-30,18.938470000000002
2020-09-10,19.35373
2020-09-18,18.53272
2020-09-28,18.75005
2020-10-06,19.12747
2020-10-16,19.50515
2020-10-23,19.11049
2020-10-30,19.42192
2020-11-06,18.28936
2020-11-14,18.66166
