date,lead
YYYY-MM-DD,ppb
2017-02-08,0.29257
2017-02-28,0.30543
2017-03-01,0.08654
2017-03-24,0.10733
2017-03-26,0.23136
2018-02-28,0.17065
2018-03-02,0.13952
2018-03-05,0.0613
2018-03-15,0.14463
2018-03-16,0.02895
2018-03-19,0.06806000000000001
2018-03-23,0.10182
2018-03-24,0.41320999999999997
2018-04-06,0.16748
2018-04-07,0.05939
2018-04-08,0.03482
2018-04-09,0.04073
2018-04-21,0.03801
2018-05-03,0.08936
2018-06-17,0.04027
2018-06-18,0.04923
2018-07-08,0.11431
2018-07-09,0.10776000000000001
2018-07-11,0.23023
2019-06-19,0.08569
2019-07-01,0.23576
2019-07-26,0.19385
2019-07-27,0.41039
2019-07-28,0.10099999999999999
2019-07-31,0.12379
2019-08-05,0.09251999999999999
2020-02-05,0.0071641
