date,molybdenum
YYYY-MM-DD,ppb
2017-02-08,0.06127
2017-02-28,0.04897
2017-03-01,0.47035
2017-03-24,0.05446
2017-03-26,0.06469
2018-02-28,0.13091
2018-03-02,0.10844
2018-03-05,0.024620000000000003
2018-03-15,0.10834999999999999
2018-03-16,0.0027300000000000002
2018-03-19,0.022889999999999997
2018-03-23,0.011609999999999999
2018-03-24,0.0009299999999999999
2018-04-06,0.03822
2018-04-07,0.01226
2018-04-08,0.00129
2018-04-09,0.00639
2018-04-21,0.01424
2018-05-03,0.02172
2018-06-17,0.01436
2018-06-18,0.02935
2018-07-08,0.02701
2018-07-09,0.01523
2018-07-11,0.04099
2019-06-19,0.03816
2019-07-01,0.09974
2019-07-26,0.0408
2019-07-27,0.20499
2019-07-28,0.02501
2019-07-31,0.02506
2019-08-05,0.00883
2020-02-05,0.0
