date,calcium
YYYY-MM-DD,ppb
2015-12-31,13599.32917
2016-02-12,13634.954230000001
2016-02-18,14031.40775
2016-02-24,14317.86665
2016-03-04,14155.00358
2016-03-11,14506.73156
2016-03-18,13833.140920000002
2016-03-27,13898.48511
2016-03-28,14156.825100000002
2016-04-03,13759.99549
2016-04-04,13467.082150000002
2016-04-05,13467.082150000002
2016-04-05,13617.38191
2016-04-05,13617.38191
2016-04-07,13204.26817
2016-04-07,13204.26817
2016-04-09,11477.88834
2016-04-09,11477.88834
2016-04-11,11477.54835
2016-04-11,11477.54835
2016-04-14,10207.42937
2016-04-16,11365.44541
2016-04-18,10672.413959999998
2016-04-20,11080.533370000001
2016-04-22,10582.69342
2016-04-24,10571.03045
2016-04-26,9438.01368
2016-04-28,9682.94252
2016-04-30,10097.433939999999
2016-05-02,10685.414760000001
2016-05-04,10094.09041
2016-05-06,8676.46735
2016-05-08,8130.19143
2016-05-10,8694.16055
2016-05-12,9086.12941
2016-05-14,7618.989689999999
2016-05-16,7345.58354
2016-05-18,7311.33383
2016-05-20,7521.89519
2016-05-22,6313.69195
2016-05-24,6363.23336
2016-05-26,6058.22696
2016-05-28,6707.968059999999
2016-05-30,6082.79744
2016-06-01,6166.83381
2016-06-03,5657.46509
2016-06-05,6281.34002
2016-06-07,5809.60276
2016-06-09,5864.57624
2016-06-11,5875.77232
2016-06-13,6530.528759999999
2016-06-15,6697.34347
2016-06-17,6925.930090000001
2016-06-19,7225.3945
2016-06-21,7873.6545399999995
2016-06-23,8097.358679999999
2016-06-25,8693.69516
2016-06-27,9513.420320000001
2016-06-29,10033.185300000001
2016-07-01,10382.54626
2016-07-03,9587.38716
2016-07-05,10948.98964
2016-07-07,11502.88632
2016-07-09,12682.02698
2016-07-11,12371.42658
2016-07-13,13079.560010000001
2016-07-15,13351.40163
2016-07-17,13684.23473
2016-07-19,13909.11809
2016-07-21,14115.54032
2016-07-23,14723.201019999999
2016-07-25,14845.5408
2016-07-27,217655.33909999998
2016-07-29,15445.55414
2016-07-31,15123.13395
2016-08-02,15729.45118
2016-08-04,16190.673289999999
2016-08-06,14239.022869999999
2016-08-08,14787.69399
2016-08-10,14530.663059999999
2016-08-12,15391.60657
2016-08-14,17547.094790000003
2016-08-16,17339.39052
2016-08-18,16904.50668
2016-08-20,16845.69155
2016-08-22,17007.71481
2016-08-24,16534.300900000002
2016-08-26,16843.8611
2016-08-28,16929.45003
2016-09-02,18399.28654
2016-09-03,18088.31324
2016-09-05,18003.29029
2016-09-07,17513.06059
2016-09-09,17656.97685
2016-09-11,17572.01124
2016-09-13,17546.33958
2016-09-15,18203.28462
2016-09-21,16316.556680000002
2016-09-21,16764.79079
2016-09-23,16363.432130000001
2016-09-25,16372.32605
2016-09-27,16393.2104
2016-09-29,16412.06001
2016-10-01,15957.508310000001
2016-10-03,15503.372469999998
2016-10-05,15387.06396
2016-10-07,15018.32132
2016-10-09,15173.699799999999
2016-10-11,15182.07279
2016-10-15,15242.7639
2016-10-17,15575.61003
2016-10-19,15201.49389
2016-10-21,15574.885699999999
2016-10-23,15042.749650000002
2016-10-25,14620.50614
2016-10-27,14974.016140000002
2016-10-29,15013.188339999999
2016-11-13,14978.55794
2016-11-23,15398.58479
2016-12-15,15161.82947
2017-01-24,14616.97586
2017-02-20,15359.63621
2017-03-10,14689.79722
2017-03-17,14609.972740000001
2017-03-25,13163.5067
2017-03-28,13107.5344
2017-03-29,13067.76455
2017-03-30,12924.81565
2017-03-31,12939.886690000001
2017-04-01,12823.59168
2017-04-02,12950.8327
2017-04-03,12969.1265
2017-04-05,12639.652619999999
2017-04-06,12820.67268
2017-04-07,12662.999259999999
2017-04-08,12396.31438
2017-04-09,12046.74261
2017-04-10,13156.0253
2017-04-11,12638.569769999998
2017-04-12,12381.859690000001
2017-04-13,11808.98361
2017-04-14,10969.61821
2017-04-15,10449.666079999999
2017-04-16,9950.790130000001
2017-04-17,9633.12732
2017-04-18,9271.87822
2017-04-19,8778.42094
2017-04-20,8519.24343
2017-04-21,8545.38338
2017-04-22,8605.34607
2017-04-23,8792.22003
2017-04-24,8567.33251
2017-04-25,8473.8079
2017-04-26,8528.50263
2017-04-27,8597.435819999999
2017-04-29,8914.978599999999
2017-04-30,9076.06782
2017-05-01,9272.08483
2017-05-02,9401.79531
2017-05-03,9694.7825
2017-05-04,9495.92448
2017-05-05,8745.204539999999
2017-05-06,7955.75114
