date,sodium
YYYY-MM-DD,ppb
2015-12-31,2589.8987799999995
2016-02-12,2653.62406
2016-02-18,2657.93037
2016-02-24,2781.31618
2016-03-04,2691.25019
2016-03-11,2767.2438199999997
2016-03-18,2708.1837100000002
2016-03-27,2708.476
2016-03-28,2226.82085
2016-04-03,2227.51357
2016-04-04,2199.0486300000002
2016-04-05,2199.0486300000002
2016-04-05,2094.81707
2016-04-05,2094.81707
2016-04-07,2061.24748
2016-04-07,2061.24748
2016-04-09,1724.6900600000001
2016-04-09,1724.6900600000001
2016-04-11,1788.05946
2016-04-11,1788.05946
2016-04-14,1708.98364
2016-04-16,1608.06344
2016-04-18,1957.47871
2016-04-20,1627.35915
2016-04-22,1491.03914
2016-04-24,1499.78127
2016-04-26,1321.27376
2016-04-28,1404.23236
2016-04-30,1468.30966
2016-05-02,1581.7603299999998
2016-05-04,1505.21842
2016-05-06,1297.3390399999998
2016-05-08,1272.18575
2016-05-10,1324.4990400000002
2016-05-12,1408.07784
2016-05-14,1208.5277999999998
2016-05-16,1175.8032799999999
2016-05-18,1183.29826
2016-05-20,1203.82486
2016-05-22,1059.64672
2016-05-24,1093.13047
2016-05-26,1073.64436
2016-05-28,1186.74613
2016-05-30,1113.27051
2016-06-01,1043.09891
2016-06-03,976.72236
2016-06-05,1247.59159
2016-06-07,1201.6280000000002
2016-06-09,1184.1034
2016-06-11,1195.52927
2016-06-13,1169.53831
2016-06-15,1224.0757800000001
2016-06-17,1245.3221
2016-06-19,1275.40358
2016-06-21,1403.8514599999999
2016-06-23,1379.35536
2016-06-25,1434.93237
2016-06-27,1651.46731
2016-06-29,1591.50406
2016-07-01,1616.2282099999998
2016-07-03,1528.13272
2016-07-05,1679.60476
2016-07-07,1701.0539199999998
2016-07-09,1946.6172299999998
2016-07-11,1927.92515
2016-07-13,2053.09419
2016-07-15,2062.05713
2016-07-17,2082.89043
2016-07-19,2124.9367899999997
2016-07-21,2216.95559
2016-07-23,2305.81468
2016-07-25,2191.1769
2016-07-27,2296.52187
2016-07-29,2300.76867
2016-07-31,2205.7771700000003
2016-08-02,2362.87971
2016-08-04,2340.69323
2016-08-06,2162.58117
2016-08-08,2320.28431
2016-08-10,2293.29505
2016-08-12,2480.88818
2016-08-14,2766.0959300000004
2016-08-16,2715.4597599999997
2016-08-18,2639.03076
2016-08-20,2624.1436599999997
2016-08-22,2664.2938299999996
2016-08-24,2601.10231
2016-08-26,2582.0561099999995
2016-08-28,2663.24877
2016-09-02,2737.6461999999997
2016-09-03,2744.4523900000004
2016-09-05,2760.74591
2016-09-07,2793.402
2016-09-09,2815.52486
2016-09-11,2843.9014700000002
2016-09-13,2861.3473699999995
2016-09-15,2908.35285
2016-09-21,2573.8954599999997
2016-09-21,2619.88996
2016-09-23,2513.66395
2016-09-25,2514.21258
2016-09-27,2595.2171
2016-09-29,2602.73469
2016-10-01,2488.84926
2016-10-03,2459.3273400000003
2016-10-05,2397.64592
2016-10-07,2373.42056
2016-10-09,2340.79075
2016-10-11,2325.92979
2016-10-15,2376.55614
2016-10-17,2452.35099
2016-10-19,2393.77328
2016-10-21,2446.2025
2016-10-23,2346.0847599999997
2016-10-25,2267.00155
2016-10-27,2381.8767
2016-10-29,2391.24166
2016-11-13,2390.85232
2016-11-23,2326.53132
2016-12-15,2201.27267
2017-01-24,2185.7279399999998
2017-02-20,2219.64957
2017-03-10,1963.14709
2017-03-17,1786.54236
2017-03-25,1636.6604899999998
2017-03-28,1669.61317
2017-03-29,1674.41363
2017-03-30,1682.46553
2017-03-31,1667.8206
2017-04-01,1667.0988
2017-04-02,1695.41391
2017-04-03,1698.93314
2017-04-05,1724.6503899999998
2017-04-06,1783.00941
2017-04-07,1710.96844
2017-04-08,1665.0591399999998
2017-04-09,1619.5584400000002
2017-04-10,1727.87787
2017-04-11,1690.11058
2017-04-12,1656.69624
2017-04-13,1548.34878
2017-04-14,1459.35568
2017-04-15,1422.09347
2017-04-16,1384.67219
2017-04-17,1396.3646700000002
2017-04-18,1352.73808
2017-04-19,1301.61229
2017-04-20,1487.9871
2017-04-21,1503.00061
2017-04-22,1535.6002899999999
2017-04-23,1533.42985
2017-04-24,1447.70185
2017-04-25,1429.78413
2017-04-26,1454.6011899999999
2017-04-27,1491.7917499999999
2017-04-29,1541.72022
2017-04-30,1558.3301700000002
2017-05-01,1570.7564300000001
2017-05-02,1572.63744
2017-05-03,1600.7458
2017-05-04,1533.05292
2017-05-05,1416.1473
2017-05-06,1266.35111
2017-05-07,1221.2648299999998
2017-05-08,1195.88951
2017-05-09,1183.02368
2017-05-10,1214.3608399999998
2017-05-11,1202.7433999999998
2017-05-12,1143.82532
2017-05-13,1105.43145
2017-05-15,1136.0475900000001
2017-05-16,1252.73478
2017-05-17,1197.95068
2017-05-18,1271.19609
2017-05-19,1316.80634
2017-05-20,1347.88879
