date,beryllium
YYYY-MM-DD,ppb
2016-10-15,0.0
2016-10-19,0.00091
2016-10-27,0.0
2016-11-03,0.0
2016-11-12,0.0
2016-11-23,0.0
2016-12-19,0.0
2017-03-19,0.96354
2017-04-11,0.013170000000000001
2017-04-12,0.45848
2017-05-14,0.11108
2017-05-30,0.22222999999999998
2017-06-01,0.05313
2017-06-15,0.01413
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.0
2017-09-13,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-23,0.0
2017-10-29,0.0
2017-11-03,0.0
2017-11-16,0.0
2017-12-19,0.005869999999999999
2018-01-05,0.00284
2018-01-25,0.00598
2018-03-03,0.0
2018-03-17,0.0
2018-05-07,0.0
2018-05-25,0.0
2018-06-03,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-11,0.0
2018-07-15,0.0
2018-08-10,0.0
2018-08-17,0.0
2018-08-24,0.0
