date,manganese
YYYY-MM-DD,ppb
2016-10-15,0.17815999999999999
2016-10-19,4.0596
2016-10-27,0.38683
2016-11-03,2.06256
2016-11-12,0.25644
2016-11-23,1.05341
2016-12-19,1.01732
2017-03-19,5.35041
2017-04-11,0.45381
2017-04-12,1.05745
2017-05-14,2.6372
2017-05-30,0.85798
2017-06-01,0.43074
2017-06-15,0.8793
2017-06-30,0.37259
2017-07-13,2.20152
2017-07-30,0.27853
2017-08-25,0.29725
2017-09-13,4.6722
2017-09-27,1.38309
2017-10-14,0.49088
2017-10-23,1.7095799999999999
2017-10-29,12.56822
2017-11-03,2.02415
2017-11-16,2.13434
2017-12-19,0.67991
2018-01-05,0.9033199999999999
2018-01-25,0.8451500000000001
2018-03-03,1.5723
2018-03-17,0.96093
2018-05-07,0.47784
2018-05-25,0.49656
2018-06-03,0.33899
2018-06-15,0.24778999999999998
2018-06-25,0.5077
2018-07-11,0.48313
2018-07-15,0.60964
2018-08-10,2.01757
2018-08-17,2.45343
2018-08-24,1.22536
