date,phosphorus
YYYY-MM-DD,ppb
2015-06-17,355.0423228663101
2015-06-18,367.56732347445825
2015-06-19,371.1961279427567
2015-06-20,368.5867798282712
2015-06-21,350.621957902919
2015-06-22,367.0126391803257
2015-06-23,355.88333108780745
2015-06-24,365.9072696426175
2015-06-25,445.7657342958445
2015-06-26,431.55737195025
2015-06-27,420.19450592166856
2015-06-28,435.73867149183525
2015-06-29,460.221723502425
2015-06-30,446.52169165438926
2015-07-01,459.16101343358645
2015-07-02,452.11631997034135
2015-07-03,450.24524688280894
2015-07-04,453.8039502391458
2015-07-05,477.27555763095785
2015-07-06,480.23183522243687
2015-07-07,448.1262152329187
2015-07-08,445.4895100020243
2015-07-09,463.0873125519747
2016-05-28,193.58389
2016-05-29,182.93113000000002
2016-05-30,168.73449
2016-05-31,162.60384
2016-06-01,148.21353
2016-06-02,138.95532
2016-06-03,137.76943
2016-06-04,125.30757
2016-06-05,123.17859999999999
2016-06-06,118.9762
2016-06-07,122.77642999999999
2016-06-08,113.91389000000001
2016-06-09,111.5076
2016-06-10,124.83605
2016-06-11,113.88616
2016-06-12,116.07061
2016-06-13,108.42173000000001
2016-06-14,141.26473000000001
2016-06-15,116.97908999999999
2016-06-16,117.58933999999999
2016-06-17,137.94375
2016-06-18,130.63791
2016-06-19,132.84701
2016-06-20,126.80030000000001
2016-06-22,120.8667
2016-06-23,129.45424
2016-06-24,129.78595
2016-06-25,133.52555999999998
2016-06-26,128.67005
2016-06-27,135.64424
2016-06-28,142.14347
2016-06-29,142.96537
2016-06-30,140.95224
2016-07-01,136.97127999999998
2016-07-02,146.18477000000001
2016-07-03,148.76340000000002
2016-07-04,158.18809
2016-07-05,147.27048
2016-07-06,155.73022
2016-07-07,158.06004
2016-07-08,176.35802
2016-07-09,172.64748999999998
2016-07-10,170.50708
2016-07-11,169.75892000000002
2016-07-12,176.19519
2016-07-13,175.75818999999998
2016-07-14,178.67633999999998
2016-07-15,184.431
2016-07-16,191.50424999999998
2016-07-17,188.99336000000002
2016-07-18,191.23763
2016-07-19,182.80164
2016-07-20,189.33418
2016-07-21,190.84503999999998
2016-07-22,194.6816
2016-07-23,202.78438999999997
2016-07-24,212.12447999999998
2016-07-25,202.99863
2016-07-26,197.34195
2016-07-27,200.80244
2016-07-28,201.40208
2016-07-29,192.06324999999998
2016-07-30,205.44242
2016-07-31,201.00449
2016-08-01,201.18029
2016-08-02,202.1252
2016-08-03,211.45782
2016-08-04,201.85161
2016-08-05,214.44317999999998
2016-08-06,215.18659
2016-08-07,217.80987
2016-08-08,213.00065
2016-08-09,213.81667
2016-08-10,210.26796000000002
2016-08-11,212.72369999999998
2016-08-12,215.47078
2016-08-13,220.55734
2016-08-14,216.98661
2016-08-15,216.02485000000001
2016-08-16,272.11421
2016-08-17,263.80879
2016-08-18,265.76637999999997
2016-08-19,261.91409
2016-08-20,266.92866
2016-08-21,262.31969
2016-08-22,272.8942
2016-08-23,264.92427
2016-08-24,255.0986
2016-08-25,251.09351
2016-08-26,256.51635
2016-08-27,262.26800000000003
2016-08-28,268.49046999999996
2016-08-29,263.79308000000003
2016-08-30,255.79179
2016-08-31,262.84438
2016-09-01,264.6047
2016-09-02,263.57589
2016-09-03,277.31665
2016-09-04,259.89179
2016-09-05,260.88031
2016-09-06,252.43224
2016-09-07,255.06359
2016-09-08,264.16614
2016-09-09,263.47988
2016-09-10,260.38289
2016-09-11,273.62182
2016-09-12,273.43872
2016-09-13,261.45285
2016-09-14,267.04284
2016-09-15,268.03747
2016-09-16,264.55017000000004
2016-09-23,275.83098
2016-09-24,284.15377
2016-09-25,293.2564
2016-09-26,291.57522
2016-09-27,289.91975
2017-06-22,137.48134
2017-06-23,141.58046000000002
2017-06-24,136.82435
2017-06-25,138.74186
2017-06-26,138.34873
2017-06-27,138.02544
2017-06-28,151.68017
2017-06-29,151.94922
2017-06-30,149.49294
2017-07-01,150.56507
2017-07-02,150.84491
2017-07-03,128.22749
2017-07-04,170.72157
2017-07-05,157.30343
2017-07-06,163.56812000000002
2017-07-07,162.11383
2017-07-08,167.76427999999999
2017-07-09,177.18561999999997
2017-07-10,173.66285000000002
2017-07-11,176.20528000000002
2017-07-12,189.10697
2017-07-13,192.47913
2017-07-14,184.98591000000002
2017-12-19,351.81169
2018-01-06,341.67463
2018-01-26,357.05672
2018-03-04,805.74471
2018-03-07,370.61417
2018-03-25,334.67517
2018-06-08,394.85818
2018-06-15,418.90880000000004
2018-06-25,483.25924999999995
2018-07-11,534.0314
2018-07-15,564.06922
2018-08-10,684.14554
2018-08-17,704.6000600000001
2018-08-24,737.03344
2021-01-28,1149.16671
2021-02-05,1142.61153
2021-02-11,1138.76702
2021-02-17,1175.63992
2021-02-25,1243.90714
2021-03-03,1224.11344
2021-03-10,1239.55736
2021-03-19,1268.36599
2021-03-25,1353.278
2021-03-30,1304.28
2021-04-07,1217.435
2021-04-14,1131.678
2021-05-17,637.1431
2021-05-28,549.0193
2021-06-04,515.5175
2021-06-11,568.32868
2021-06-18,607.3988899999999
2021-06-24,614.22284
2021-07-02,634.42752
2021-07-09,681.12614
2021-07-15,690.89421
2021-07-23,529.8453099999999
2021-07-30,607.52057
2021-07-31,606.10177
2021-08-06,602.76773
