date,calcium
YYYY-MM-DD,ppb
2014-12-07,54242.5978
2015-02-07,65446.45034
2015-02-19,72798.34939999999
2015-03-16,50436.12653
2015-04-19,45684.3753
2015-05-02,35025.29289
2015-05-11,36508.98696
2015-05-24,39992.0266
2015-06-02,29375.98539
2015-06-18,24906.35601
2015-07-02,29783.50774
2015-07-15,32730.971709999998
2015-08-02,41335.56381000001
2015-08-09,43337.02563
2015-10-04,46244.37371
2015-10-13,47559.66555
2015-11-09,49283.71649
2015-11-23,48428.318609999995
2015-12-09,48998.59216
2015-12-30,50234.73526
2016-01-08,49941.88451
2016-01-18,50257.93861
2016-01-28,52752.76068
2016-02-12,53218.49064
2016-02-21,50982.62441
2016-03-09,51747.01166
2016-03-24,51077.246830000004
2016-03-31,50774.19773
2016-04-08,46971.29106
2016-04-21,44573.42943
2016-05-02,48618.084699916195
2016-05-12,40435.0667044274
2016-05-20,42069.2965269686
2016-05-27,33481.488100466995
2016-06-04,26086.417191919198
2016-06-11,23673.4170894376
2016-06-17,25149.08691
2016-06-27,28615.742260000003
2016-07-08,32742.995030000002
2016-07-15,35048.14269
2016-07-22,36122.06426
2016-07-29,39385.845610000004
2016-08-05,35694.79025
2016-08-12,39335.06966
2016-08-19,46139.15945
2016-08-26,41500.395189999996
2016-09-02,41833.289359999995
2016-09-09,44025.15878
2016-09-16,45618.57002
2016-09-23,57555.279220000004
2016-09-30,45698.94792
2016-10-12,44710.476989999996
2016-10-19,48452.33451
2016-10-27,45381.2108
2016-11-03,47678.4225
2016-11-12,47536.46049
2016-11-23,48330.38214
2016-12-04,52913.819890000006
2017-02-01,54404.968049999996
2017-03-19,47369.72081
2017-04-12,47730.57581
2017-04-30,46111.57143
2017-05-11,123477.65028
2017-05-14,31650.79151
2017-05-30,31584.03753
2017-06-15,30237.95978
2017-06-30,28292.340819999998
2017-07-13,28270.657219999997
2017-07-30,31286.369359999997
2017-08-25,42690.61482
2017-09-14,45007.22439
2017-09-27,46461.40026
2017-10-14,46554.60765
2017-10-23,46648.64647000001
2017-11-03,48073.95940000001
2017-11-16,47691.788759999996
2018-03-04,44295.62804
2018-03-17,49477.730650000005
2019-03-21,52990.56043
2019-03-30,51737.628350000006
2019-04-18,45977.70439
2019-05-02,43746.59237
2019-05-08,41397.014520000004
2019-05-31,36378.74516
2019-06-05,30386.33501
2019-06-11,28802.15499
2019-06-21,26842.0116
2019-06-27,28186.87711
2019-07-05,27705.60947
2019-07-14,28009.431330000003
2019-07-19,28850.33905
2019-07-26,29324.09865
2019-08-02,31722.14873
2019-08-09,31057.66494
2019-08-16,35106.31419
2019-08-23,37913.41444
2019-08-30,42933.09221
2019-09-06,41988.2865
2019-09-13,41907.667270000005
2019-09-20,44164.43833999999
2019-09-27,46131.53265
2019-10-04,47507.29196
2019-10-11,48005.94747
2019-10-19,47135.68484
2020-02-11,45557.270019999996
2020-02-20,48582.400610000004
2020-03-01,47256.9617
2020-03-11,46253.07041
2020-03-17,48122.916379999995
2020-04-03,47669.979810000004
2020-04-09,52193.13088
2020-04-14,53205.30686
2020-04-24,54063.40632
2020-04-28,53939.1676
2020-05-14,53463.24189
2020-05-22,51670.73849
2020-05-29,54025.93667
2020-06-05,52250.269870000004
2020-06-12,32390.480499999998
2020-06-19,29346.439529999996
2020-06-26,27497.39743
2020-07-02,30367.15628
2020-07-10,29150.80538
2020-07-17,29991.92342
2020-07-23,31782.59447
2020-07-30,33226.881330000004
2020-08-07,38331.73292
2020-08-14,38407.11797
2020-08-20,38729.17869
2020-08-27,42179.39878999999
2020-09-03,44646.7555
2020-09-11,49541.51111
2020-09-18,47735.40855
2020-09-24,46339.766630000006
2020-10-01,47515.28859
2020-10-08,46985.92893
2020-10-16,50605.19596
2020-10-23,52141.64332
2020-10-27,50890.16034
2020-11-06,52788.23795
2020-11-13,52820.9519
2020-11-20,57811.99375
2020-12-04,54519.698319999996
2020-12-31,57614.233759999996
2021-01-08,55376.38869000001
2021-01-15,56563.25566
2021-01-21,56006.21994
2021-01-28,50032.447920000006
2021-02-05,50424.01425
2021-02-11,51042.19335
2021-02-17,51703.50625
2021-02-25,52691.46664
2021-03-03,52375.47697
2021-03-10,51302.40448
2021-03-19,51117.682779999996
2021-08-13,44733.73571
2021-08-19,43594.633195099996
2021-08-27,46279.9253514
2021-09-03,46114.4811391
2021-10-01,50003.151890299996
2021-10-07,50689.608620700004
2021-10-22,49158.430567799995
2021-10-27,48578.4474466
2021-11-03,49280.626471100004
2021-11-11,47797.4930628
2021-12-20,49756.292236500005
2022-10-15,48588.687290500005
