date,silver
YYYY-MM-DD,ppb
2014-12-07,0.025300000000000003
2015-02-07,0.0
2015-02-19,0.01399
2015-03-16,0.00322
2015-04-19,0.0
2015-05-02,0.01999
2015-05-11,0.00742
2015-05-24,0.18384999999999999
2015-06-02,0.00541
2015-06-18,0.0
2015-07-02,0.0
2015-07-15,0.0
2015-08-02,0.01052
2015-08-09,0.00203
2015-10-04,0.00831
2015-10-13,0.00304
2015-11-09,0.0035700000000000003
2015-11-23,0.0010500000000000002
2015-12-09,0.023540000000000002
2015-12-30,0.00234
2016-01-08,0.00137
2016-01-18,0.013500000000000002
2016-01-28,0.01786
2016-02-12,0.00355
2016-02-21,0.008140000000000001
2016-03-09,0.0030600000000000002
2016-03-24,0.00724
2016-03-31,0.00414
2016-04-08,0.02028
2016-04-21,0.00031
2016-05-02,0.018893347199999997
2016-05-12,0.011289096399999999
2016-05-20,0.0326409246
2016-05-27,0.0158343504
2016-06-04,0.0190326228
2016-06-11,0.0013204772
2016-06-17,0.07881
2016-06-27,0.03719
2016-07-08,0.14464
2016-07-15,0.00401
2016-07-22,0.02772
2016-07-29,0.01361
2016-08-05,0.01334
2016-08-12,0.01351
2016-08-19,0.04218
2016-08-26,0.02617
2016-09-02,0.022989999999999997
2016-09-09,0.0043300000000000005
2016-09-16,0.00135
2016-09-23,0.06579
2016-09-30,0.00201
2016-10-12,0.057460000000000004
2016-10-19,0.0
2016-10-27,0.0037
2016-11-03,0.0
2016-11-12,0.00424
2016-11-23,0.0
2016-12-04,0.00030000000000000003
2017-02-01,0.0
2017-03-19,0.06645
2017-04-12,0.0
2017-04-30,0.0
2017-05-11,0.0
2017-05-14,0.0
2017-05-30,0.0
2017-06-15,0.81303
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.053680000000000005
2017-09-14,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-23,0.0
2017-11-03,0.0
2017-11-16,0.0
2018-03-04,0.00036
2018-03-17,0.0
2019-03-21,0.23927
2019-03-30,0.24607
2019-04-18,0.24143
2019-05-02,0.23691
2019-05-08,0.23979
2019-05-31,1.39757
2019-06-05,1.3814499999999998
2019-06-11,1.38389
2019-06-21,1.39726
2019-06-27,1.8928
2019-07-05,1.8984999999999999
2019-07-14,1.8898499999999998
2019-07-19,1.8823400000000001
2019-07-26,1.8859000000000001
2019-08-02,1.88249
2019-08-09,3.3096799999999997
2019-08-16,3.30586
2019-08-23,3.29544
2019-08-30,3.30632
2019-09-06,3.3166200000000003
2019-09-13,3.29502
2019-09-20,3.27902
2019-09-27,3.28115
2019-10-04,3.28322
2019-10-11,3.2830500000000002
2019-10-19,3.29069
2020-02-11,0.36749
2020-02-20,0.36311000000000004
2020-03-01,0.38495
2020-03-11,0.33642
2020-03-17,0.34192
2020-04-03,0.33924999999999994
2020-04-09,0.34201000000000004
2020-04-14,0.34964
2020-04-24,0.35450000000000004
2020-04-28,0.33890000000000003
2020-05-14,4.85595
2020-05-22,0.34718
2020-05-29,0.34953
2020-06-05,0.33638
2020-06-12,0.35938
2020-06-19,0.3386
2020-06-26,0.3464
2020-07-02,0.39211
2020-07-10,0.34635
2020-07-17,0.33855
2020-07-23,0.34318000000000004
2020-07-30,0.3306
2020-08-07,0.35102
2020-08-14,0.35624
2020-08-20,0.3355
2020-08-27,0.34569000000000005
2020-09-03,0.35864
2020-09-11,0.35090000000000005
2020-09-18,0.33825
2020-09-24,0.34314
2020-10-01,0.34565
2020-10-08,0.33072999999999997
2020-10-16,0.33068
2020-10-23,0.34298
2020-10-27,0.33046
2020-11-06,0.3403
2020-11-13,0.33802
2020-11-20,0.3426
2020-12-04,0.34807
2020-12-31,0.36228000000000005
2021-01-08,0.35292999999999997
2021-01-15,0.35003
2021-01-21,0.35306
2021-01-28,1.0702
2021-02-05,1.07663
2021-02-11,1.05207
2021-02-17,1.04958
2021-02-25,1.07943
2021-03-03,1.06538
2021-03-10,1.07181
2021-03-19,1.06935
2021-08-13,0.0336136
2021-08-19,0.013696999999999999
2021-08-27,0.011910200000000001
2021-09-03,0.0083307
2021-10-01,0.0231475
2021-10-07,0.0468567
2021-10-22,0.0157515
2021-10-27,0.0963926
2021-11-03,0.16681890000000002
2021-11-11,0.0217256
2021-12-20,0.0200256
2022-10-15,0.026487300000000002
