date,silver
YYYY-MM-DD,ppb
2014-12-12,0.00151
2015-05-11,0.010579999999999999
2015-05-24,0.011559999999999999
2015-06-02,0.0089
2015-06-18,0.0
2015-07-02,0.0
2015-07-15,0.0
2015-08-02,0.00601
2015-08-09,0.0016
2015-10-04,0.00808
2015-10-13,0.012119999999999999
2015-10-26,0.00479
2015-11-09,0.005869999999999999
2016-05-12,0.0112007948
2016-05-20,0.05771526500000001
2016-05-27,0.0
2016-06-04,0.014278482
2016-06-11,0.0005440655
2016-06-17,0.03127
2016-06-27,0.10258
2016-07-08,0.00116
2016-07-15,0.03145
2016-07-22,0.01867
2016-07-29,0.03483
2016-08-05,0.03778
2016-08-12,0.06057
2016-08-19,0.042640000000000004
2016-08-26,0.02293
2016-09-02,0.02049
2016-09-09,0.023280000000000002
2016-09-16,0.0053300000000000005
2016-09-23,0.00312
2016-09-30,0.0
2016-10-12,0.00136
2016-10-19,0.01731
2016-10-27,0.0014999999999999998
2016-11-03,0.01986
2016-11-12,0.0008
2017-05-30,0.0
2017-06-15,0.0
2017-06-30,0.0
2017-07-13,0.0
2017-07-30,0.0
2017-08-25,0.08571999999999999
2017-09-14,0.0
2017-09-27,0.0
2017-10-14,0.0
2017-10-23,0.0
2017-11-03,0.0
2018-05-25,0.0
2018-06-08,0.0
2018-06-15,0.0
2018-06-25,0.0
2018-07-09,0.0
2018-07-15,0.0
