date,zirconium
YYYY-MM-DD,ppb
2020-05-22,0.25683
2020-05-29,0.2686
2020-06-12,0.24218
2020-06-19,0.25307
2020-06-26,0.25537
2020-07-02,0.25172
2020-07-10,0.29468
2020-07-17,0.25028
2020-07-23,0.25701999999999997
2020-07-30,0.25095
2020-08-07,0.26311
2020-08-14,0.25062
2020-08-20,0.23972
2020-08-27,0.25728999999999996
2020-09-03,0.25954
2020-09-11,0.25315
2020-09-18,0.25597000000000003
2020-09-24,0.23997999999999997
2020-10-01,0.23512000000000002
2020-10-16,0.24661
2020-10-23,0.23979
2020-11-06,0.24155
2021-01-21,0.24706
2021-02-17,0.21935
2021-03-10,0.23321999999999998
2021-04-14,0.11553
2021-05-19,0.11145
2021-05-28,0.11604
2021-06-04,0.14759
2021-06-11,0.14116
2021-06-24,0.1336
2021-07-09,0.12808999999999998
2021-07-15,0.12524000000000002
2021-07-23,0.10257000000000001
2021-07-30,0.0329
2021-08-06,0.02281
2021-08-13,0.0170938
2021-08-27,0.0134151
2021-09-03,0.0199856
2021-10-01,0.0139419
2021-10-07,0.0123825
2021-10-22,-9999.0
2021-11-03,0.0076871000000000005
2021-11-11,0.0014885000000000002
