date,silicon
YYYY-MM-DD,ppb
2014-12-07,2843.70007
2015-01-24,2769.51337
2015-02-07,3028.09191
2015-03-16,2472.48522
2015-04-19,2144.16946
2015-05-11,6111.36626
2015-05-24,5939.51134
2015-06-02,5789.908370000001
2015-06-18,2835.51708
2015-07-02,5555.893099999999
2015-07-15,2626.48825
2015-08-02,2050.57589
2015-08-09,2113.1891100000003
2015-10-04,3660.8339699999997
2015-10-13,3675.81254
2015-10-26,3619.1111300000002
2015-11-09,3318.29949
2015-11-23,3487.38251
2015-12-09,3373.15801
2015-12-30,3458.14586
2016-01-08,3616.8902500000004
2016-01-18,3396.50682
2016-01-28,3328.8994300000004
2016-02-12,3802.50491
2016-02-21,3801.3716
2016-03-09,3631.6682200000005
2016-03-24,3746.51631
2016-03-31,3563.51729
2016-04-08,2575.34317
2016-04-21,2309.33031
2016-05-02,2305.7186219769997
2016-05-12,2539.7519583051
2016-05-20,2120.8387086158996
2016-05-27,2083.5900154043998
2016-06-04,1721.2879115810001
2016-06-11,1574.9159963553002
2016-06-17,1712.52592
2016-06-27,1812.01359
2016-07-08,2059.4034500000002
2016-07-15,2190.09694
2016-07-22,2314.27048
2016-07-29,2552.87253
2016-08-05,2466.53738
2016-08-12,2572.79742
2016-08-19,2607.51026
2016-08-26,2713.65789
2016-09-02,2589.44254
2016-09-09,2411.84777
2016-09-16,2431.70456
2016-09-23,2104.15784
2016-09-30,2463.92044
2016-10-12,2528.9098400000003
2016-10-19,2433.62178
2016-10-27,2599.39657
2016-11-03,2699.09921
2016-11-12,2609.98464
2016-11-23,2537.44181
2016-12-04,2719.7317500000004
2017-04-12,3096.2323199999996
2017-04-30,2679.90916
2017-05-14,57978.240509999996
2017-05-30,2409.06234
2017-06-15,2181.6988499999998
2017-06-30,1725.55107
2017-07-30,2308.56023
2017-08-25,2524.55649
2017-09-14,2643.25577
2017-09-27,2850.83303
2017-10-14,2649.15798
2017-10-23,2620.16009
2017-11-16,2723.0841600000003
2018-03-03,2442.3086599999997
2018-05-07,2324.31271
2018-05-25,2046.73605
2018-06-08,1904.34037
2018-06-15,2072.51244
2018-06-25,2195.7713400000002
2018-07-09,2625.15384
2018-07-15,2656.17952
2018-08-10,2777.50877
2018-08-17,2760.56327
2018-08-24,2853.183
2018-09-07,2587.7097300000005
2018-09-14,2623.5950700000003
2018-09-21,2639.07003
2018-09-28,2758.35734
