date,silver
YYYY-MM-DD,ppb
2017-03-17,0.043949999999999996
2017-03-23,0.00379
2017-05-03,0.0889
2017-05-06,0.54644
2017-05-11,0.006719999999999999
2017-05-15,0.26404
2017-06-22,0.08168
2017-10-29,0.33813000000000004
2019-04-06,0.27861
2019-04-06,0.27901
2020-07-14,4.02974
2020-07-21,4.01712
2020-07-29,4.03461
2020-08-04,4.020770000000001
2020-08-12,0.40193
2020-08-19,0.39813
2020-08-24,0.41287999999999997
2020-09-01,0.40399999999999997
2020-09-14,0.39876
2020-09-23,0.38773
2020-09-29,0.35366000000000003
2020-10-05,0.34812999999999994
2020-10-13,0.35957000000000006
2020-10-22,0.3688
2020-10-28,0.35975
2020-11-03,0.45095
2020-11-19,1.4507500000000002
2021-04-28,0.0
2021-05-04,0.0
2021-05-13,0.0
2021-05-18,0.0
2021-05-27,0.0
2021-06-02,0.0
2021-06-08,0.0
2021-06-15,0.0
2021-06-22,0.0
2021-07-01,0.0
2021-07-07,0.0
2021-07-16,0.1262006
2021-07-20,0.035236
2021-07-27,0.0106058
2021-08-04,0.0079261
2021-08-10,0.0054951999999999996
2021-08-17,0.0049445
2021-08-24,0.0046961
2021-08-31,0.0049353
2021-09-08,0.0059851
2021-09-27,0.0034147
2021-10-04,0.0044668
2021-10-15,0.0305599
