date,molybdenum
YYYY-MM-DD,ppb
2019-04-27,0.3655
2019-05-10,1.26567
2019-05-19,3.08807
2019-05-24,5.38467
2019-06-03,6.352
2019-06-18,8.59698
2019-07-01,10.73899
2019-07-09,11.86771
2019-07-16,7.0819
2019-08-15,5.74732
2019-09-05,3.6584499999999998
2019-10-02,2.14563
2020-04-21,0.40227
2020-05-13,3.8595800000000002
2020-05-28,3.9168399999999997
2020-06-10,4.7703299999999995
2020-06-24,4.0752500000000005
2020-07-08,3.74511
2020-08-03,2.83613
2020-08-26,2.23707
2020-09-29,1.07649
2020-11-03,0.22162
2021-05-10,1.34452
2021-05-24,3.18948
2021-06-17,3.5979307
2021-06-30,3.7788059
2021-07-22,3.2689434
2021-08-20,2.7003442
2021-09-30,2.3182066
