date,phosphorus
YYYY-MM-DD,ppb
2019-04-27,2823.32924
2019-05-10,1500.61562
2019-05-19,3435.8639
2019-05-24,2737.04553
2019-06-03,2103.47543
2019-06-18,2234.62757
2019-07-01,2095.83955
2019-07-09,2479.5529300000003
2019-07-16,1905.45565
2019-08-15,1470.09504
2019-09-05,2018.36184
2019-10-02,2027.98493
2020-04-21,2319.36403
2020-05-13,1825.55781
2020-05-28,2308.65653
2020-06-10,2112.84518
2020-06-24,2248.91916
2020-07-08,2178.87853
2020-08-03,2215.92292
2020-08-26,2559.94652
2020-09-29,2695.71807
2020-11-03,2681.59303
2021-05-10,3365.9662500000004
2021-05-24,3166.1252000000004
2021-06-17,0.0
2021-06-30,8.835015
2021-07-22,13.9848993
2021-08-20,14.378336000000001
2021-09-30,17.2104078
