date,potassium
YYYY-MM-DD,ppb
2019-04-27,1374.49836
2019-05-10,1029.30384
2019-05-19,1426.45739
2019-05-24,1283.27851
2019-06-03,1246.6225
2019-06-18,1269.11814
2019-07-01,1200.56751
2019-07-09,1196.82554
2019-07-16,1114.0638
2019-08-15,1106.60275
2019-09-05,1231.993
2019-10-02,1242.00211
2020-04-21,1053.99072
2020-05-13,1051.61126
2020-05-28,1090.65412
2020-06-10,1009.98774
2020-06-24,1011.72192
2020-07-08,964.2347100000001
2020-08-03,970.89587
2020-08-26,1031.13961
2020-09-29,1112.5782
2020-11-03,1146.41017
2021-05-10,1336.4993200000001
2021-05-24,1190.46009
2021-06-17,1061.3596969
2021-06-30,1162.433569
2021-07-22,1141.0377383
2021-08-20,1221.4049172999999
2021-09-30,1127.881674
