date,silver
YYYY-MM-DD,ppb
2019-04-27,0.31883
2019-05-10,0.21888999999999997
2019-05-19,0.2344
2019-05-24,1.27881
2019-06-03,1.2527
2019-06-18,0.0
2019-07-01,0.0
2019-07-09,0.26942
2019-07-16,2.87269
2019-08-15,2.58613
2019-09-05,2.61668
2019-10-02,2.42146
2020-04-21,3.94696
2020-05-28,4.04894
2020-06-10,4.2767
2020-06-24,4.4108
2020-07-08,4.2717600000000004
2020-08-04,3.9227299999999996
2020-08-26,3.95507
2020-09-29,0.0677
2020-11-03,0.05626
2021-05-10,0.0
2021-05-24,0.25419
2021-06-17,0.0559983
2021-06-30,0.0468336
2021-07-22,0.037982
2021-08-20,0.0283
2021-09-30,0.021187900000000003
