date,phosphorus
YYYY-MM-DD,ppb
2014-12-12,84.60366978723404
2015-04-19,46.52489893617022
2015-05-11,350.24419
2015-05-24,381.93874999999997
2015-06-02,336.9249
2015-06-18,324.85002000000003
2015-07-02,527.79708
2015-07-15,436.72208
2015-08-02,71.88377617021277
2015-08-09,69.9942470212766
2015-10-04,420.32059
2015-10-13,514.60902
2015-10-26,462.75669999999997
2015-11-09,483.01324
2015-11-23,468.04873999999995
2016-04-08,409.76149999999996
2016-04-21,334.93523000000005
2016-05-02,199.9350003483
2016-05-20,141.5619303704
2016-05-27,169.16944683039998
2016-06-04,177.09743922500002
2016-06-11,228.824267877
2016-06-17,217.15171999999998
2016-06-27,291.31841000000003
2016-07-08,242.71901
2016-07-15,263.62564
2016-07-22,245.63735000000003
2016-07-29,268.59981
2016-08-05,263.34066
2016-08-12,249.30049
2016-08-19,286.62318
2016-08-26,275.66731
2016-09-02,264.36022
2016-09-09,538.31067
2016-09-16,549.72849
2016-09-23,286.29588
2016-09-30,528.20699
2016-10-12,414.58674
2016-10-19,461.15009
2016-10-27,488.73959
2016-11-03,479.59949
2016-11-12,508.27036999999996
2016-11-23,389.99507
2016-12-04,366.00319
2017-05-14,105.82289
2017-05-30,295.20766
2017-06-15,191.76983
2017-06-30,242.01234
2017-07-13,279.13412999999997
2017-07-30,248.9675
2017-08-25,267.99078000000003
2017-09-14,269.98688000000004
2017-09-27,296.34741
2017-10-14,311.19151
2017-10-23,306.16238
2017-11-03,332.07140000000004
2017-11-16,339.34261
2018-03-03,425.78823
2018-05-25,541.5842
2018-06-08,774.67596
2018-06-15,873.01064
2018-06-25,954.64191
2018-07-09,926.5375
2018-07-15,871.43443
2018-08-10,1092.73432
2018-08-17,1085.75838
2018-08-24,1171.20454
2018-09-07,1048.90221
2018-09-14,1115.5142700000001
2018-09-21,1091.6340599999999
2018-09-28,1169.85132
