date,silicon
YYYY-MM-DD,ppb
2014-12-12,2473.89597
2015-04-19,1750.25261
2015-05-11,5491.60196
2015-05-24,5632.75529
2015-06-02,5161.64758
2015-06-18,3014.82342
2015-07-02,5778.41225
2015-07-15,2849.2600199999997
2015-08-02,2167.57448
2015-08-09,2216.83156
2015-10-04,3468.9892099999997
2015-10-13,3321.6564
2015-10-26,3404.1431599999996
2015-11-09,3439.52611
2015-11-23,3093.7602500000003
2016-04-08,3076.8795099999998
2016-04-21,1918.39491
2016-05-02,1996.1593899687
2016-05-20,1828.6410144286
2016-05-27,1648.7895940192
2016-06-04,1697.9008359215
2016-06-11,1962.6387610605002
2016-06-17,2224.84618
2016-06-27,2439.74276
2016-07-08,2441.0824700000003
2016-07-15,2447.62561
2016-07-22,2489.71384
2016-07-29,2576.0330599999998
2016-08-05,2357.98794
2016-08-12,2516.09752
2016-08-19,2401.8214399999997
2016-08-26,2401.75847
2016-09-02,2271.6165
2016-09-09,2240.72633
2016-09-16,2239.0526800000002
2016-09-23,1855.5332
2016-09-30,2195.74284
2016-10-12,2177.74286
2016-10-19,2138.97668
2016-10-27,2226.54988
2016-11-03,2221.42133
2016-11-12,2233.43511
2016-11-23,2195.65629
2016-12-04,2412.50054
2017-05-14,1809.6849499999998
2017-05-30,2019.39694
2017-06-15,2513.6229
2017-06-30,2335.76877
2017-07-13,2423.49995
2017-07-30,2385.23516
2017-08-25,2238.59227
2017-09-14,2207.71763
2017-09-27,2386.99385
2017-10-14,2245.11641
2017-10-23,2174.13656
2017-11-03,2141.52827
2017-11-16,2334.71687
2018-03-03,2139.0885900000003
2018-05-25,2046.01846
2018-06-08,2185.53087
2018-06-15,2218.8154
2018-06-25,2295.79192
2018-07-09,2388.7946
2018-07-15,2312.03331
2018-08-10,2473.21229
2018-08-17,2366.9438099999998
2018-08-24,2438.13181
2018-09-07,2272.37135
2018-09-14,2303.87992
2018-09-21,2247.63403
2018-09-28,2221.74079
