date,lithium
YYYY-MM-DD,ppb
2014-12-12,2.0023299999999997
2015-01-24,2.03464
2015-02-07,2.5491
2015-02-19,2.66121
2015-03-16,1.91527
2015-04-19,1.3128799999999998
2015-05-11,1.47733
2015-05-24,1.52746
2015-06-02,1.11056
2015-06-18,3.6707099999999997
2015-07-02,1.96502
2015-07-15,2.45476
2015-08-02,1.86227
2015-08-09,1.96763
2015-10-04,4.24094
2015-10-13,4.14525
2015-10-26,3.89421
2015-11-09,3.7537
2015-11-23,3.0159700000000003
2015-12-09,3.33113
2015-12-30,3.2272499999999997
2016-01-08,3.07156
2016-01-18,2.80526
2016-01-28,3.0050100000000004
2016-02-12,3.3840700000000004
2016-02-21,3.63673
2016-03-09,3.62142
2016-03-24,3.37627
2016-03-31,3.4218100000000002
2016-04-08,1.38328
2016-04-21,1.34837
2016-05-02,1.2112721692
2016-05-12,0.8396010315
2016-05-20,0.7745718324
2016-05-27,0.8626511256
2016-06-04,0.548757819
2016-06-11,0.5448717663999999
2016-06-17,0.63053
2016-06-27,0.99757
2016-07-08,1.41173
2016-07-15,1.4960300000000002
2016-07-22,1.76416
2016-07-29,1.8943699999999999
2016-08-05,1.63335
2016-08-12,2.1656400000000002
2016-08-19,1.82115
2016-08-26,1.94637
2016-08-27,2.1825
2016-09-02,1.77029
2016-09-09,2.11625
2016-09-16,2.52029
2016-09-23,2.1989
2016-09-30,2.11296
2016-10-12,1.78763
2016-10-19,1.9342400000000002
2016-10-27,1.88407
2016-11-03,1.8636
2016-11-12,1.9123899999999998
2016-11-23,1.81113
2016-12-04,1.57968
2016-12-19,1.58467
2017-03-19,1.9752800000000001
2017-04-12,1.86404
2017-04-30,1.3770799999999999
2017-05-14,0.5883499999999999
2017-05-30,0.58289
2017-06-15,0.58427
2017-06-30,0.54891
2017-07-13,0.84372
2017-07-30,0.9683600000000001
2017-08-25,1.6805400000000001
2017-09-14,2.15668
2017-09-27,1.85225
2017-10-14,1.54264
2017-10-23,1.51088
2017-10-29,2.9025800000000004
2017-11-03,1.7859
2017-11-16,1.75567
2018-03-04,1.32591
2018-05-25,0.28062
2018-06-08,0.70067
2018-06-15,1.02132
2018-06-25,1.27714
2018-07-09,2.03457
2018-07-15,1.98197
2018-08-10,2.22375
2018-08-17,2.39667
2018-08-24,2.35713
2018-09-07,2.7029300000000003
2018-09-14,2.5233
2018-09-21,2.57447
2018-10-05,2.21589
2018-10-12,1.9617499999999999
2018-10-18,1.88178
2018-10-25,1.82985
2018-11-02,1.8121300000000002
2018-11-10,1.8586
2018-11-17,2.04904
2019-02-27,2.01484
2019-03-21,2.12921
2019-03-30,2.28017
2019-04-18,1.8826
2019-05-08,1.14144
2019-06-05,0.7439600000000001
2019-06-11,0.43589999999999995
2019-06-21,0.38063
2019-06-27,0.63653
2019-07-05,0.75074
2019-07-14,0.7450800000000001
2019-07-19,1.07099
2019-07-26,0.83534
2019-08-02,1.00939
2019-08-09,1.5046899999999999
2019-08-16,1.6486500000000002
2019-08-23,11.27518
2019-08-30,2.59695
2019-09-06,2.80917
2019-09-13,2.26397
2019-09-20,1.92382
2019-09-27,2.40434
2019-10-04,1.86394
2019-10-11,1.9214200000000001
2019-10-19,2.3504
2019-10-25,2.5172600000000003
2019-11-03,2.0988599999999997
2019-11-08,2.05952
2019-11-15,2.17502
2019-11-22,2.06338
2019-12-04,2.03097
2019-12-12,2.1054999999999997
2019-12-20,2.2177
2020-01-08,2.37365
2020-01-21,2.1154200000000003
2020-01-28,2.21721
2020-02-11,2.4287
2020-02-20,2.31738
2020-03-11,2.7344299999999997
2020-03-17,2.9088399999999996
2020-04-03,2.06064
2020-04-09,2.67009
2020-04-14,3.15485
2020-04-24,3.30398
2020-05-22,1.1683599999999998
2020-05-29,1.2578900000000002
2020-06-05,0.9438599999999999
2020-06-12,1.21753
2020-06-19,0.81015
2020-06-26,0.65381
2020-07-02,1.5013
2020-07-10,2.09409
2020-07-17,1.50857
2020-07-23,2.99649
2020-07-30,2.91355
2020-08-07,1.75075
2020-08-14,2.17509
2020-08-20,3.06079
2020-08-27,1.47735
2020-09-03,2.9683599999999997
2020-09-11,3.20605
2020-09-18,2.24825
2020-09-24,2.42619
2020-10-01,3.42758
2020-10-08,3.28656
2020-10-16,1.9834299999999998
2020-10-23,2.69525
2020-10-27,2.5255699999999996
2020-11-06,2.9486299999999996
2020-11-13,3.6151299999999997
2020-11-20,2.31263
2020-12-04,3.0518099999999997
2021-01-08,2.31018
2021-01-15,2.7579700000000003
2021-01-28,2.1018
2021-02-11,1.20802
2021-03-03,1.2788599999999999
2021-03-19,1.75207
2021-03-25,2.54015
2021-04-07,2.97913
2021-05-17,1.49821
2021-05-28,1.46253
2021-06-04,0.88188
2021-06-11,0.27787
2021-06-18,1.08603
2021-07-02,1.65963
2021-07-09,1.38232
2021-07-15,7.7517000000000005
2021-07-30,2.15643
2021-08-06,1.63153
2021-08-13,2.3280724999999998
2021-08-19,2.0427731
2021-08-27,2.3451878
2021-09-03,0.7771667
2021-10-01,1.0919593
2021-10-07,0.83237
2021-10-22,3.2382862
2021-10-27,1.3403535999999998
2021-11-03,1.0076462
2021-11-11,0.6435219999999999
2022-10-15,2.2540383
