date,strontium
YYYY-MM-DD,ppb
2014-12-12,173.98183
2015-01-24,164.48499
2015-02-07,199.54640999999998
2015-03-16,150.61306
2015-04-19,132.48684
2015-05-11,124.4656
2015-05-24,123.60210000000001
2015-06-02,96.37602
2015-06-18,74.14693
2015-07-02,77.75083000000001
2015-07-15,94.11276000000001
2015-08-02,119.29012999999999
2015-08-09,122.05286
2015-10-04,145.25495
2015-10-13,148.53941
2015-10-26,149.51244
2015-11-09,147.18516
2015-11-23,145.77957
2015-12-09,142.29991
2016-01-28,144.45655
2016-02-12,146.15308000000002
2016-02-21,145.65807
2016-03-09,147.99803
2016-03-24,145.907
2016-03-31,141.81664
2016-04-08,148.88393000000002
2016-04-21,139.496
2016-05-02,130.2584297865
2016-05-27,100.1547157296
2016-06-04,94.997326176
2016-06-17,83.71625999999999
2016-06-27,90.04722
2016-07-08,100.44072
2016-07-15,108.35227
2016-07-22,120.22652000000001
2016-07-29,132.08207
2016-08-05,121.56121
2016-08-12,150.38968
2016-08-19,149.94983
2016-08-26,136.26213
2016-09-02,129.75638
2016-09-09,135.67189000000002
2016-09-16,141.47454
2016-09-23,166.37059
2016-09-30,145.81931
2016-10-12,139.55315000000002
2016-10-19,146.7983
2016-10-27,141.41246999999998
2016-11-03,149.08832999999998
2016-11-12,148.02835
2016-11-23,157.85988
2017-03-19,176.52874
2017-04-12,167.13542
2017-04-30,151.02994999999999
2017-06-30,84.85734000000001
2017-07-30,91.4096
2017-08-25,135.90446
2017-09-14,141.29391999999999
2017-09-27,148.9757
2017-10-14,145.36872
2017-10-23,150.73916
2017-11-03,150.92017
2017-11-16,154.1014
2018-03-03,148.54371
2018-05-25,95.73133
2018-06-08,92.41351
2018-06-15,95.2714
2018-06-25,105.57982000000001
2018-07-09,124.41095000000001
2018-07-15,129.27652999999998
2018-08-10,152.19503
2018-08-17,157.91571
2018-08-24,161.22129999999999
2018-09-07,149.50728
2018-09-14,154.50005000000002
2018-09-28,158.53202
2018-10-05,147.46850999999998
2018-10-12,159.57857
2018-10-18,160.75005000000002
2018-10-25,161.04034
2018-11-02,159.30889000000002
2018-11-10,173.04307
2018-11-17,162.30214
2019-02-27,173.03767
2019-03-30,181.72534
2019-04-18,176.13114
2019-05-08,148.7292
2019-06-05,107.87732
2019-06-11,93.71449
2019-06-21,86.18963000000001
2019-06-27,89.41586
2019-07-05,76.01012
2019-07-14,77.25787
2019-07-19,80.29622
2019-07-26,85.06553
2019-08-02,91.55006
2019-08-09,94.23508
2019-08-16,108.00679000000001
2019-08-23,166.89632
2019-08-30,150.00306
2019-09-06,138.49738
2019-09-13,162.49917
2019-09-20,151.49214
2019-09-27,153.08355
2019-10-04,154.98786
2019-10-11,158.99733
2019-10-19,161.54374
2019-10-25,163.04021
2019-11-03,159.63889
2019-11-08,161.5168
2019-11-15,166.63603999999998
2019-11-22,180.2139
2019-12-04,162.62783
2019-12-12,166.092
2019-12-20,171.97274
2020-01-08,169.38376000000002
2020-01-21,167.36638
2020-01-28,171.77352
2020-02-11,223.39597999999998
2020-02-20,221.98898
2020-03-11,221.93145
2020-03-17,219.41282
2020-04-03,222.38895
2020-04-09,225.69137
2020-04-14,207.68491
2020-04-24,219.2549
2020-05-22,194.21579000000003
2020-05-29,169.67967000000002
2020-06-05,129.26975000000002
2020-06-12,119.77954
2020-06-19,103.24508
2020-06-26,102.58765
2020-07-02,119.10257
2020-07-10,121.73369
2020-07-17,125.36654999999999
2020-07-23,132.03355
2020-07-30,147.83285
2020-08-07,153.61726000000002
2020-08-14,164.1459
2020-08-20,160.38212000000001
2020-08-27,178.54386000000002
2020-09-03,181.42878
2020-09-11,190.39332000000002
2020-09-18,196.32648
2020-09-24,183.67088999999999
2020-10-01,192.52945
2020-10-08,191.04509000000002
2020-10-16,238.84436
2020-10-23,205.69096
2020-10-27,205.56004000000001
2020-11-06,203.43395
2020-11-13,211.42211
2020-12-04,206.69164999999998
2021-01-08,203.19593
2021-01-15,206.76048000000003
2021-01-28,157.02426
2021-02-11,159.67489
2021-03-03,169.34749
2021-03-19,168.62597999999997
2021-03-25,182.76088
2021-04-07,183.50779
2021-05-17,123.01885
2021-05-28,101.75623
2021-06-04,90.90509
2021-06-11,83.46515
2021-06-18,83.66206
2021-06-24,89.65887000000001
2021-07-02,94.27314000000001
2021-07-09,100.0642
2021-07-15,110.04592000000001
2021-07-23,95.28728
2021-07-30,121.20374
2021-07-31,125.68804999999999
2021-08-06,120.57298
2021-08-13,126.49870890000001
2021-08-19,124.6944436
2021-08-27,138.2265471
2021-09-03,134.4427887
2021-10-01,149.6377155
2021-10-07,158.27741749999998
2021-10-22,159.85940879999998
2021-10-27,160.6429215
2021-11-03,167.1865381
2021-11-11,163.9246666
2022-10-15,162.8264349
