date,strontium
YYYY-MM-DD,ppb
2015-06-02,2.1959999999999997
2015-06-12,0.722351603028808
2015-06-13,1.4532433488162
2015-06-18,1.16233
2015-07-06,0.155468492774365
2015-07-10,0.066597566741728
2015-07-15,0.52995
2015-08-02,0.44617999999999997
2015-11-04,0.16863
2015-11-23,0.43436
2015-11-28,0.6647000000000001
2016-05-27,0.038981471999999996
2016-06-04,1.9565302007999998
2016-06-08,0.51611
2016-06-11,2.068200935
2016-06-17,0.42506
2016-07-08,0.24659
2016-07-14,0.15699000000000002
2016-07-16,0.22736
2016-07-22,0.26648
2016-07-29,0.47501000000000004
2016-08-11,0.15200999999999998
2016-08-19,0.43954
2016-08-26,1.17378
2016-09-02,0.64817
2016-09-16,0.6342000000000001
2016-10-12,0.30433
2016-10-19,0.3316
2016-10-27,0.82191
2016-11-03,0.50824
2016-11-12,0.50365
2016-12-04,0.60372
2017-03-27,0.64012
2017-06-23,0.20589
2017-06-30,0.21043
2017-07-13,0.25305
2017-07-14,0.21008
2017-07-17,0.87235
2017-07-30,0.1626
2017-08-11,0.24704
2017-08-25,0.20439
2017-08-31,0.32337
2017-09-18,0.44216
2017-09-27,0.33929
2017-10-14,0.39409
2017-10-19,0.1652
2017-10-23,0.11895
2017-10-24,0.09674
2017-11-03,1.11845
2017-11-14,1.8938
2017-11-16,0.14928
2017-12-19,0.14596
2018-01-06,0.24485
2018-01-25,0.15734
2018-01-29,1.04577
2018-03-03,0.28581
2018-03-04,0.21298
2018-03-13,0.94278
2018-03-17,0.19565
2018-05-07,0.18436000000000002
2018-05-25,0.18944
2018-06-03,0.07037
2018-06-08,0.40476999999999996
2018-06-15,0.14344
2018-06-25,0.13982
2018-07-09,0.16916
2018-08-10,0.14987999999999999
2018-08-17,0.01737
2018-08-24,0.0
2018-08-25,0.05178000000000001
2018-08-31,0.3702
2018-09-07,13.820319999999999
2018-09-14,14.261980000000001
2018-09-21,2.48945
2018-10-11,0.15422999999999998
2018-10-12,0.69208
2018-10-18,0.25065
2018-10-25,0.17118999999999998
2018-11-02,0.22038
2018-11-10,0.73307
2018-11-16,0.32386
2018-11-17,0.38072
2019-07-27,42.702540000000006
2019-08-13,28.528799999999997
