date,dic
YYYY-MM-DD,mg.L-1
2019-05-30,28.8
2019-06-12,28.48
2019-06-19,28.78
2019-06-29,28.37
2019-07-08,28.2
2019-07-15,28.09
2019-07-24,28.33
2019-07-30,28.23
2019-08-06,28.07
2019-08-14,28.27
2019-08-21,28.09
2019-11-07,30.4
2019-11-13,30.96
2019-11-21,31.04
2019-11-29,30.63
2020-01-15,31.9
2020-02-08,30.43
2020-02-18,30.61
2020-03-05,30.56
2020-03-18,30.74
2020-03-30,30.69
2020-08-30,28.36
2020-09-10,28.49
2020-09-18,28.21
2020-09-28,28.05
2020-10-06,28.47
2020-10-16,28.5
2020-10-23,28.06
2020-10-30,28.61
2020-11-06,28.37
2020-11-14,28.3
