date,npoc
YYYY-MM-DD,mg.L-1
2015-11-02,0.20171999999999998
2015-11-09,0.15131999999999998
2015-11-15,0.15527999999999997
2015-11-23,0.14376
2015-12-01,0.32123795899999996
2015-12-09,0.386368393
2016-01-28,0.381537747
2016-02-12,0.407106856
2016-02-21,0.3507
2016-03-09,0.3701
2016-03-24,0.3491
2016-03-31,0.3447
2016-04-08,0.5834
2016-04-21,0.59
2016-05-02,0.4542
2016-05-12,0.7544
2016-05-27,0.6238
2016-06-04,0.5831
2016-06-11,0.5133
2016-06-17,0.3418
2016-06-27,0.2071
2016-06-29,0.2019
2016-07-08,0.1753
2016-07-15,0.1176
2016-07-22,0.1436
2016-08-05,0.8803
2016-08-12,0.3118
2016-08-19,0.2711
2016-08-26,0.3124
2016-09-02,0.3973
2016-09-09,0.2576
2016-09-16,0.6362
2016-09-23,0.4067
2016-09-30,0.3134
2016-10-12,0.3887
2016-10-19,0.271
2016-10-27,0.2751
2016-11-03,0.2796
2016-11-12,0.2554
2017-03-19,0.4775
2017-04-12,0.6142
2017-04-30,0.6324
2017-06-30,0.5133
2017-07-30,0.4159
2017-08-25,0.3596
2017-09-14,0.3981
2017-09-27,0.3883
2017-10-14,0.4043
2017-10-23,0.4021
2017-11-03,0.3809
2017-11-16,0.3516
2018-03-03,0.6904
2018-05-25,0.4905
2018-06-08,0.4278
2018-06-15,0.379
2018-06-25,0.4868
2018-07-09,0.432
2018-07-15,0.3834
2018-08-10,0.6278
2018-08-17,0.5001
2018-08-24,0.4982
2018-08-31,0.3202
2018-09-07,0.3402
2018-09-14,0.3795
2018-09-21,0.3737
2018-09-28,0.3281
2018-10-05,0.4799
2018-10-12,0.3731
2018-10-18,0.3922
2018-10-25,0.4128
2018-11-02,0.3689
2018-11-10,0.3418
2018-11-17,0.3106
2018-12-03,0.3704
2018-12-14,0.3205
2018-12-20,0.282
2019-01-29,0.3354
2019-06-05,1.356
2019-06-11,1.246
2019-06-21,1.132
2019-06-27,0.8882
2019-07-05,0.8304
2019-07-14,0.8747
2019-07-19,0.4349
2019-07-26,0.3757
2019-08-02,0.3514
2019-08-09,0.3145
2019-08-16,0.398
2019-08-23,0.5303
2019-08-30,0.3406
2019-09-06,0.3297
2019-09-13,0.3986
2019-09-20,0.3886
2019-09-27,0.4259
2019-10-04,0.3419
2019-10-11,0.4342
2019-10-19,0.4179
2019-10-25,0.3164
2019-11-03,0.1691
2019-11-08,0.2685
2019-11-15,0.1256
2019-11-22,0.2073
2019-12-04,0.1485
2019-12-12,0.3224
2019-12-20,0.11
2020-01-08,0.1997
2020-01-21,0.1948
2020-01-28,0.17804
2020-02-11,0.3023
2020-02-20,0.2908
2020-03-11,0.3522
2020-03-17,0.3278
2020-04-03,0.4112
2020-04-09,0.5632
2020-04-14,0.4627
2020-04-24,0.5904
2020-05-22,0.6943
2020-05-29,0.7405
2020-06-05,0.5108
2020-06-12,0.4733
2020-06-19,0.4112
2020-06-26,0.3737
2020-07-02,0.3584
2020-07-10,0.3444
2020-07-17,0.3736
2020-07-23,0.3846
2020-07-30,0.7624
2020-08-07,0.3843
2020-08-14,0.3983
2020-08-20,0.3921
2020-08-27,0.3716
2020-09-03,0.3752
2020-09-11,0.5019
2020-09-18,0.3903
2020-09-24,0.3216
2020-10-01,0.3367
2020-10-08,0.3458
2020-10-16,0.3372
2020-10-23,0.3371
2020-10-27,0.4137
2020-11-06,0.3311
2020-11-13,0.3367
2020-12-04,0.2421
2021-01-15,0.2144
2021-01-28,0.2648
2021-02-11,0.2291
2021-03-03,0.4272
2021-03-19,0.2492
2021-03-25,0.3175
2021-03-30,0.2888
2021-04-07,0.4028
2021-04-14,0.7091
2021-05-17,0.8648
2021-05-28,0.7521
2021-06-04,0.6013
2021-07-30,0.4108
2021-08-06,0.411
2021-08-13,0.2236
2021-08-19,0.6318
2021-08-27,0.2967
2021-09-03,0.3547
2021-10-01,0.4272
2021-10-07,0.3389
2021-10-22,0.2454
2021-10-27,0.2905
2021-11-03,0.2689
2021-11-11,0.2829
2022-10-15,0.2665
