date,dic
YYYY-MM-DD,mg.L-1
2015-11-02,27.5275
2015-11-09,27.9752
2015-11-15,27.708999999999996
2015-12-01,27.95
2015-12-09,27.71
2016-01-08,27.58
2016-01-28,27.68
2016-02-12,27.55
2016-02-21,27.610000000000003
2016-03-09,27.52
2016-03-24,27.43
2016-03-31,26.17
2016-04-08,25.11
2016-04-21,24.88
2016-05-02,25.6
2016-05-20,23.48
2016-05-27,23.13
2016-06-04,21.94
2016-06-11,20.77
2016-06-17,21.54
2016-06-27,20.96
2016-06-29,26.62
2016-07-08,22.67
2016-07-15,24.44
2016-07-22,25.86
2016-08-05,25.57
2016-08-12,27.94
2016-08-19,27.92
2016-08-26,27.71
2016-09-02,26.94
2016-09-09,27.89
2016-09-16,27.03
2016-09-23,27.86
2016-09-30,26.86
2016-10-12,25.94
2016-10-19,27.93
2016-10-27,28.05
2016-11-03,26.42
2016-11-12,27.02
2017-03-19,26.52
2017-04-12,27.3
2017-04-30,26.79
2017-05-14,21.6
2017-05-30,22.91
2017-06-15,23.02
2017-06-30,21.87
2017-07-13,21.82
2017-07-30,24.56
2017-08-25,28.9
2017-09-14,30.41
2017-09-27,31.05
2017-10-14,27.83
2017-10-23,25.44
2017-11-03,25.98
2017-11-16,26.85
2018-03-03,24.04
2018-03-25,22.4
2018-06-08,22.58
2018-06-15,22.69
2018-06-25,24.61
2018-07-09,27.08
2018-07-15,27.68
2018-08-10,29.65
2018-08-17,29.83
2018-08-24,29.67
2018-08-31,30.64
2018-09-07,30.44
2018-09-14,31.38
2018-09-21,31.22
2018-09-28,31.54
2018-10-05,29.91
2018-10-12,28.14
2018-10-19,27.39
2018-10-25,27.24
2018-11-02,27.18
2018-11-10,28.43
2018-11-17,28.09
2018-12-20,28.17
2019-01-12,27.9
2019-01-29,28.05
2019-06-05,19.83
2019-06-11,21.32
2019-06-21,20.79
2019-06-27,20.73
2019-07-05,19.16
2019-07-14,18.1
2019-07-19,17.7
2019-07-26,17.74
2019-08-02,18.27
2019-08-09,19.31
2019-08-16,20.53
2019-08-23,21.55
2019-08-30,22.41
2019-09-06,22.82
2019-09-13,24.05
2019-09-20,24.09
2019-09-27,24.45
2019-10-04,25.02
2019-10-11,25.49
2019-10-19,25.57
2019-10-25,26.89
2019-11-03,26.17
2019-11-08,26.75
2019-11-15,26.68
2019-11-22,26.19
2019-12-04,26.96
2019-12-12,26.79
2019-12-14,28.03
2019-12-20,26.97
2020-01-08,26.87
2020-01-21,26.97
2020-01-28,26.84
2020-02-11,26.55
2020-02-20,26.73
2020-03-11,26.79
2020-04-03,26.46
2020-04-09,23.61
2020-04-14,23.47
2020-04-24,21.98
2020-05-22,18.93
2020-05-29,19.46
2020-06-05,19.01
2020-06-12,20.57
2020-06-19,19.77
2020-06-26,19.64
2020-07-02,20.82
2020-07-10,22.18
2020-07-17,23.45
2020-07-23,24.67
2020-07-30,25.24
2020-08-07,26.43
2020-08-14,27.2
2020-08-20,27.54
2020-08-27,28.4
2020-09-03,28.71
2020-09-11,27.99
2020-09-18,28.69
2020-09-24,28.8
2020-10-01,28.91
2020-10-08,28.41
2020-10-16,28.22
2020-10-23,28.22
2020-10-27,28.27
2020-11-06,27.86
2020-11-13,28.02
2020-12-04,27.25
2021-01-08,26.89
2021-01-15,26.95
2021-01-28,27.33
2021-02-11,28.77
2021-03-03,25.86
2021-03-19,26.37
2021-03-25,25.66
2021-04-07,21.54
2021-05-17,18.45
2021-05-28,19.48
2021-06-04,17.66
2021-07-23,27.3
2021-07-30,28.74
2021-07-31,27.1
2021-08-06,28.32
2021-08-13,26.69
2021-08-19,26.34
2021-08-27,28.07
2021-09-03,28.41
2021-10-01,28.89
2021-10-07,28.22
2021-10-15,29.1
2021-10-22,28.11
2021-10-27,27.29
2021-11-03,26.5
2021-11-11,26.91
