date,dic
YYYY-MM-DD,mg.L-1
2015-11-02,23.8975
2015-11-09,23.4256
2015-11-15,23.8733
2015-11-23,23.002100000000002
2015-12-01,24.57
2015-12-09,24.08
2015-12-30,24.25
2016-01-08,24.04
2016-01-18,24.08
2016-01-28,24.59
2016-02-12,24.62
2016-02-21,25.09
2016-03-09,25.94
2016-03-17,24.94
2016-03-24,24.750000000000004
2016-03-31,25.17
2016-04-08,25.27
2016-04-21,25.11
2016-05-02,26.01
2016-05-12,23.18
2016-05-20,21.4
2016-05-27,21.15
2016-05-30,19.7
2016-06-04,15.33
2016-06-11,14.76
2016-06-17,14.58
2016-06-22,13.76
2016-06-23,14.42
2016-06-24,14.45
2016-06-25,14.73
2016-06-26,14.51
2016-06-27,14.73
2016-06-28,14.7
2016-06-29,14.89
2016-06-30,14.62
2016-07-01,14.29
2016-07-02,15.28
2016-07-03,14.94
2016-07-04,16.2
2016-07-05,16.17
2016-07-06,16.18
2016-07-07,15.25
2016-07-08,16.29
2016-07-09,16.15
2016-07-10,16.26
2016-07-11,16.79
2016-07-12,16.9
2016-07-13,17.34
2016-07-14,17.69
2016-07-15,17.95
2016-07-16,18.19
2016-07-17,18.46
2016-07-18,18.1
2016-07-19,16.7
2016-07-20,17.83
2016-07-21,17.89
2016-07-22,18.09
2016-07-23,17.98
2016-07-24,18.65
2016-07-25,18.51
2016-07-26,18.92
2016-07-27,19.18
2016-07-28,19.02
2016-07-29,19.24
2016-07-30,19.29
2016-07-31,20.04
2016-08-01,19.8
2016-08-02,19.83
2016-08-03,19.76
2016-08-04,19.04
2016-08-05,17.98
2016-08-06,19.01
2016-08-07,19.56
2016-08-08,19.97
2016-08-09,20.72
2016-08-10,20.89
2016-08-11,20.83
2016-08-12,21.56
2016-08-13,21.61
2016-08-14,21.76
2016-08-15,22.03
2016-08-16,22.2
2016-08-17,22.31
2016-08-18,22.43
2016-08-19,22.19
2016-08-20,22.61
2016-08-21,22.75
2016-08-22,22.71
2016-08-23,23.0
2016-08-24,20.25
2016-08-25,21.61
2016-08-26,21.04
2016-08-27,21.59
2016-08-28,21.89
2016-08-29,19.86
2016-08-30,18.48
2016-08-31,19.23
2016-09-01,20.15
2016-09-02,19.5
2016-09-03,19.5
2016-09-04,18.67
2016-09-05,19.83
2016-09-06,19.67
2016-09-07,20.6
2016-09-08,20.4
2016-09-09,20.83
2016-09-10,21.04
2016-09-11,21.06
2016-09-12,21.1
2016-09-13,21.28
2016-09-14,21.14
2016-09-15,21.57
2016-09-16,21.52
2016-09-23,21.77
2016-09-24,21.4
2016-09-25,22.13
2016-09-26,20.74
2016-09-27,21.91
2016-09-30,21.13
2016-10-12,21.12
2016-10-19,22.36
2016-10-27,22.49
2016-11-03,22.11
2016-11-12,22.35
2017-03-19,23.94
2017-04-12,25.66
2017-04-30,25.99
2017-05-11,22.84
2017-05-14,20.17
2017-05-30,18.3
2017-06-15,17.86
2017-06-30,16.19
2017-07-13,16.25
2017-07-30,18.27
2017-08-25,23.78
2017-09-14,25.11
2017-09-27,25.39
2017-10-14,23.85
2017-10-23,22.1
2017-11-03,22.85
2017-11-16,23.59
2018-03-04,24.4
2018-03-07,18.86
2018-03-17,24.26
2018-03-25,15.51
2018-06-08,15.14
2018-06-15,15.14
2018-06-25,17.99
2018-07-11,18.42
2018-07-15,19.67
2018-08-10,22.39
2018-08-17,22.61
2018-08-24,22.37
2018-08-31,24.07
2018-09-07,23.58
2018-09-14,24.49
2018-09-21,23.79
2018-09-28,24.46
2018-10-05,20.59
2018-10-12,22.08
2018-10-19,22.84
2018-10-25,22.42
2018-11-02,22.67
2018-11-10,25.09
2018-11-17,23.76
2018-12-03,24.03
2018-12-21,24.68
2019-01-03,24.68
2019-01-11,24.53
2019-01-29,25.02
2019-02-10,25.17
2019-02-21,25.18
2019-05-31,21.549999999999997
2019-06-05,18.639999999999997
2019-06-11,17.029999999999998
2019-06-21,15.85
2019-06-27,16.79
2019-07-05,15.97
2019-07-14,15.59
2019-07-19,15.81
2019-07-26,15.71
2019-08-02,16.55
2019-08-09,16.19
2019-08-16,17.74
2019-08-23,18.84
2019-08-30,19.64
2019-09-06,19.96
