date,npoc
YYYY-MM-DD,mg.L-1
2015-11-02,0.39492
2015-11-09,0.4638
2015-11-15,0.3654
2015-11-23,0.30348
2015-12-01,0.515879678
2015-12-09,0.44458600600000003
2015-12-30,0.505718664
2016-01-08,0.464241738
2016-01-18,0.471820855
2016-01-28,0.517961853
2016-02-12,0.480316129
2016-02-21,0.4916
2016-03-09,0.5278
2016-03-17,0.5673
2016-03-24,0.5689
2016-03-31,0.5653
2016-04-08,0.9851
2016-04-21,1.296
2016-05-02,1.011
2016-05-12,1.481
2016-05-20,1.779
2016-05-27,1.462
2016-05-30,1.453
2016-06-04,1.584
2016-06-11,1.366
2016-06-17,0.9988
2016-06-22,0.8111
2016-06-23,0.8021
2016-06-24,0.7225
2016-06-25,0.7237
2016-06-26,0.5926
2016-06-27,0.5872
2016-06-28,0.5824
2016-06-29,0.5936
2016-06-30,0.5099
2016-07-01,0.6438
2016-07-02,0.5857
2016-07-03,0.5819
2016-07-04,0.5439
2016-07-05,0.5284
2016-07-06,0.5468
2016-07-07,0.4381
2016-07-08,0.4155
2016-07-09,0.4472
2016-07-10,0.4193
2016-07-11,0.4141
2016-07-12,0.3815
2016-07-13,0.4051
2016-07-14,0.3684
2016-07-15,0.4692
2016-07-16,0.4938
2016-07-17,0.4774
2016-07-18,0.5349
2016-07-19,0.5656
2016-07-20,0.4943
2016-07-21,0.4783
2016-07-22,0.499
2016-07-23,0.4698
2016-07-24,0.4873
2016-07-25,0.4669
2016-07-26,0.5006
2016-07-27,0.4691
2016-07-28,0.4653
2016-07-29,0.521
2016-07-30,0.3988
2016-07-31,0.4208
2016-08-01,0.4641
2016-08-02,0.4503
2016-08-03,0.414
2016-08-04,0.4643
2016-08-05,0.9002
2016-08-06,1.032
2016-08-07,0.6899
2016-08-08,0.5784
2016-08-09,0.6483
2016-08-10,0.8068
2016-08-11,0.6352
2016-08-12,0.6203
2016-08-13,0.647
2016-08-14,0.664
2016-08-15,0.529
2016-08-16,0.5306
2016-08-17,0.5167
2016-08-18,0.5645
2016-08-19,0.5629
2016-08-20,0.5358
2016-08-21,0.5639
2016-08-22,0.5663
2016-08-23,0.4734
2016-08-24,0.6124
2016-08-25,0.678
2016-08-26,0.6238
2016-08-27,0.612
2016-08-28,0.6472
2016-08-29,0.6792
2016-08-30,0.8064
2016-08-31,0.6686
2016-09-01,0.6236
2016-09-02,0.7575
2016-09-03,0.7088
2016-09-04,0.7429
2016-09-05,0.6242
2016-09-06,0.6779
2016-09-07,0.6012
2016-09-08,0.6034
2016-09-09,0.5792
2016-09-10,0.5648
2016-09-11,0.5877
2016-09-12,0.5477
2016-09-13,0.7711
2016-09-14,0.6225
2016-09-15,0.6507
2016-09-16,0.61
2016-09-23,0.8283
2016-09-24,0.8087
2016-09-25,0.7697
2016-09-26,0.7141
2016-09-27,0.7149
2016-09-30,0.5231
2016-10-12,0.7776
2016-10-19,0.5206
2016-10-27,0.5103
2016-11-03,0.5121
2016-11-12,0.455
2017-03-19,0.8535
2017-04-12,1.031
2017-04-30,1.164
2017-05-11,1.775
2017-05-14,2.038
2017-05-30,1.686
2017-06-15,1.309
2017-06-30,1.021
2017-07-13,0.914
2017-07-30,0.7941
2017-08-25,0.5562
2017-09-14,0.6012
2017-09-27,0.5758
2017-10-14,0.6177
2017-10-23,0.5933999999999999
2017-11-03,0.5483
2017-11-16,0.5049
2018-03-04,1.154
2018-03-07,1.894
2018-03-17,0.4119
2018-03-25,1.362
2018-06-08,1.046
2018-06-15,0.7501
2018-06-25,0.6885
2018-07-11,0.6503
2018-07-15,0.6279
2018-08-10,0.5325
2018-08-17,0.6078
2018-08-24,0.6527
2018-08-31,0.6521
2018-09-07,0.6038
2018-09-14,0.4899
2018-09-21,0.6267
2018-09-28,0.6625
2018-10-05,0.819
2018-10-12,0.6207
2018-10-19,0.6224
2018-10-25,0.7717
2018-11-02,0.5812
2018-11-10,0.6063
2018-11-17,0.5136
2018-12-03,0.4684
2018-12-21,0.4159
2019-01-03,0.4147
2019-01-11,0.497
2019-01-29,0.4814
2019-02-10,0.4473
2019-02-21,0.4262
2019-05-31,1.909
2019-06-05,2.274
2019-06-11,2.006
2019-06-21,1.661
2019-06-27,1.641
2019-07-05,1.328
2019-07-14,0.9408
2019-07-19,0.7434
2019-07-26,0.5793
2019-08-02,0.6601
2019-08-09,0.5114
2019-08-16,0.4511
2019-08-23,0.4666
2019-08-30,0.5139
2019-09-06,0.4299
2019-09-13,0.4247
2019-09-20,0.416
2019-09-27,0.4381
2019-10-04,0.6033
2019-10-11,0.4607
2019-10-19,0.5909
2019-10-25,0.812
2019-11-03,0.5419
2019-11-08,0.4998
2019-11-15,0.587
2019-11-22,0.4659
2019-12-04,0.5459
2019-12-12,0.5044
2019-12-20,0.5573
2020-01-08,0.5328
2020-01-15,0.5387
2020-01-21,0.4794
2020-01-28,0.5315
2020-02-11,0.421
2020-02-20,0.4614
2020-03-01,0.43270000000000003
2020-03-11,0.4593
2020-03-17,0.4574
2020-04-03,0.5531
2020-04-09,0.9104
2020-04-14,0.8086
2020-04-24,0.9251
2020-04-28,1.495
2020-05-14,2.0
2020-05-22,1.6310000000000002
2020-05-29,1.566
2020-06-05,1.2842
2020-06-12,1.0405
2020-06-19,0.8143
2020-06-26,0.6453
2020-07-02,0.5861
2020-07-10,0.54
2020-07-17,0.5171
2020-07-23,0.5188
2020-07-30,0.5344
2020-08-07,0.4921
2020-08-14,0.5207
2020-08-20,0.5517
2020-08-27,0.5736
2020-09-03,0.5575
2020-09-11,0.7163
2020-09-18,0.5623
2020-09-24,0.5592
2020-10-01,0.5316
2020-10-08,0.5204
2020-10-16,0.5114
2020-10-23,0.4953
2020-10-27,0.5474
2020-11-06,0.4856
2020-11-13,0.5042
2020-11-20,0.4349
2020-12-04,0.3231
2020-12-31,0.2928
2021-01-08,0.3196
2021-01-15,0.2881
2021-01-21,0.2833
2021-01-28,0.3146
2021-02-05,0.3414
2021-02-11,0.3409
2021-02-17,0.5279
2021-02-25,0.3352
2021-03-03,0.3285
2021-03-10,0.3413
2021-03-19,0.346
2021-03-25,0.3875
2021-03-30,0.4085
2021-04-07,1.076
2021-04-14,0.9508
2021-05-17,1.966
2021-05-28,2.18
2021-06-04,1.461
2021-08-13,0.5679
2021-08-19,0.7736
2021-08-27,0.5316
2021-09-03,0.6601
2021-10-01,0.6703
2021-10-07,0.5266
2021-10-22,0.4358
2021-10-27,0.5313
2021-11-03,0.5471
2021-11-11,0.4001
2021-12-20,0.3894
2022-10-15,0.4926
