date,npoc
YYYY-MM-DD,mg.L-1
2020-05-22,0.49899999999999994
2020-05-29,0.35069999999999996
2020-06-05,0.272
2020-06-12,0.1905
2020-06-19,0.1765
2020-06-26,0.1393
2020-07-02,0.1247
2020-07-10,0.1068
2020-07-17,0.1212
2020-07-23,0.1045
2020-07-30,0.1193
2020-08-07,0.0821
2020-08-14,0.1192
2020-08-20,0.1014
2020-08-27,0.1163
2020-09-03,0.0846
2020-09-11,0.0896
2020-09-18,0.1064
2020-09-24,0.1225
2020-10-01,0.1004
2020-10-16,0.1103
2020-10-23,0.09
2020-11-06,0.1338
2021-01-21,0.1699
2021-02-17,0.1364
2021-03-10,0.1432
2021-04-14,0.2728
2021-05-19,0.4704
2021-05-28,0.3274
2021-06-04,0.2551
2021-07-23,0.2266
2021-07-30,0.2382
2021-08-06,0.7171
2021-08-13,0.1193
2021-08-27,0.1167
2021-09-03,0.0854
2021-10-01,0.2236
2021-10-07,0.1328
2021-10-22,0.0417
2021-11-03,0.069
2021-11-11,0.002
2021-12-20,0.0105
