date,dic
YYYY-MM-DD,mg.L-1
2016-11-16,59.65
2017-10-29,59.78
2020-07-14,65.76
2020-07-21,66.85
2020-07-29,68.58
2020-08-04,67.29
2020-08-12,65.56
2020-08-19,65.22
2020-08-24,64.93
2020-09-01,65.19
2020-09-14,65.77
2020-09-23,63.04
2020-09-29,65.09
2020-10-05,65.58
2020-10-13,65.1
2020-10-22,64.7
2020-10-28,63.36
2020-11-03,65.05
2020-11-19,60.13
2021-04-28,60.41
2021-05-04,62.26
2021-05-13,64.68
2021-05-18,63.65
2021-05-27,64.85
2021-06-02,65.38
2021-06-08,70.61
2021-06-15,69.59
2021-06-22,70.07
2021-07-01,69.88
2021-07-07,70.49
2021-07-16,63.17
2021-07-20,63.77
2021-07-27,64.22
2021-08-04,63.42
2021-08-10,63.84
2021-08-17,63.36
2021-08-24,64.54
2021-08-31,64.13
2021-09-08,63.4
2021-09-27,64.75
2021-09-30,58.71
2021-10-04,65.03
2021-10-15,61.88
