date,npoc
YYYY-MM-DD,mg.L-1
2016-11-16,1.407
2017-10-29,1.944
2020-07-14,1.739
2020-07-21,1.88
2020-07-29,2.239
2020-08-04,1.785
2020-08-12,2.12
2020-08-19,1.561
2020-08-24,1.91
2020-09-01,1.673
2020-09-14,1.805
2020-09-23,1.69
2020-09-29,2.087
2020-10-05,1.805
2020-10-13,1.762
2020-10-22,1.497
2020-10-28,1.703
2020-11-03,1.651
2020-11-19,1.435
2021-04-28,1.691
2021-05-04,1.5450000000000002
2021-05-13,1.604
2021-05-18,1.5190000000000001
2021-05-27,1.7710000000000001
2021-06-02,1.74
2021-06-08,1.525
2021-06-15,1.404
2021-06-22,1.6
2021-07-01,1.56
2021-07-07,1.581
2021-07-16,1.243
2021-07-20,1.552
2021-07-27,1.567
2021-08-04,1.464
2021-08-10,1.458
2021-08-17,1.46
2021-08-24,1.604
2021-08-31,1.821
2021-09-08,1.564
2021-09-27,1.544
2021-09-30,1.839
2021-10-04,1.536
2021-10-15,1.303
