date,dic
YYYY-MM-DD,mg.L-1
2019-04-27,60.64
2019-05-10,60.2
2019-05-19,57.89
2019-05-24,56.41
2019-06-03,56.06
2019-06-18,57.88
2019-07-01,59.08
2019-07-09,60.09
2019-07-16,61.02
2019-08-15,56.54
2019-09-05,57.67
2019-10-02,55.49
2020-04-21,62.84
2020-05-13,64.07
2020-05-28,64.09
2020-06-10,55.06
2020-06-24,56.02
2020-07-08,57.83
2020-08-03,59.31
2020-08-26,60.03
2020-09-29,56.65
2020-11-03,57.04
2021-05-10,57.54
2021-05-24,58.14
2021-06-17,54.91
2021-06-30,54.4
2021-07-22,56.95
2021-08-20,57.98
