date,npoc
YYYY-MM-DD,mg.L-1
2015-09-01,0.2226
2015-09-08,0.2995
2015-09-17,0.3509
2015-09-22,0.2221
2015-10-07,0.2297
2015-10-16,0.2498
2015-10-20,0.3142
2015-10-28,0.2419
2015-11-03,0.3117
2015-11-09,0.2765
2015-11-16,0.2922
2015-11-23,0.2889
2015-11-30,0.2487
2015-12-08,0.2434
2015-12-14,0.2709
2015-12-22,0.2871
2015-12-28,0.2332
2016-01-04,0.2799
2016-01-12,0.3918
2016-02-02,0.2377
2016-02-09,5.861
2016-02-15,0.2406
2016-02-23,0.2306
2016-02-29,0.2552
2016-03-08,0.281
2016-03-15,0.2815
2016-03-21,0.261
2016-03-29,0.2669
2016-04-05,0.2893
2016-04-12,0.2735
2016-04-19,0.2926
2016-04-25,0.2899
2016-05-03,0.3017
2016-05-11,0.3166
2016-05-17,0.3526
2016-05-27,0.2946
2016-06-01,0.2976
2016-06-09,0.2929
2016-06-16,0.2941
2016-06-22,0.3274
2016-06-29,0.3183
2016-07-06,0.2802
2016-07-13,0.2776
2016-07-20,0.25
2016-07-27,0.2085
2016-08-03,0.2784
2016-08-10,0.2729
2016-08-17,0.2108
2016-08-23,0.2177
2016-08-23,0.2217
2016-08-23,0.187
2016-08-24,0.1945
2016-08-31,0.2276
2016-09-07,0.08627
2016-09-14,0.04978
2016-09-21,0.0448
2016-09-28,0.193
2016-10-11,0.1848
2016-10-19,0.1874
2016-10-26,0.2512
2016-11-02,0.2175
2016-11-09,0.1816
2016-11-16,0.1614
2016-11-22,0.2081
2016-11-29,0.1593
2016-12-06,0.2011
2016-12-13,0.2261
2016-12-20,0.2056
2016-12-27,0.2128
2017-01-03,0.201
2017-01-10,0.2962
2017-01-17,0.2066
2017-01-24,0.204
2017-01-31,0.1731
2017-02-07,0.3428
2017-02-14,0.351
2017-02-21,0.3502
2017-02-28,0.3494
2017-03-07,0.3599
2017-03-14,0.3648
2017-03-21,0.3926
2017-03-28,0.3678
2017-04-04,0.3512
2017-04-11,0.3576
2017-04-18,0.3904
2017-04-25,0.3845
2017-05-02,0.313
2017-05-09,0.3327
2017-05-16,0.3041
2017-05-23,0.3084
2017-05-30,0.3218
2017-06-14,0.3882
2017-06-20,0.2743
2017-06-29,0.3905
2017-07-05,0.7334
2017-07-12,0.3697
2017-07-18,0.3057
2017-07-25,0.2768
2017-08-03,0.316
2017-08-09,0.3886
2017-08-16,0.3361
2017-08-23,0.3253
2017-08-29,0.3049
2017-09-05,0.3846
2017-09-13,0.3642
2017-09-20,0.3159
2017-09-27,0.3589
2017-10-05,0.3856
2017-10-10,0.3817
2017-10-17,0.3761
2017-10-24,0.343
2017-10-31,0.357
2017-11-07,0.3583
2017-11-14,0.3677
2017-11-21,0.3665
2017-11-28,0.358
2017-12-05,0.3679
2017-12-12,0.3727
2017-12-19,0.3749
2017-12-26,0.366
2018-01-02,0.3712
2018-01-09,0.3591
2018-01-16,0.358
2018-01-23,0.3038
2018-01-30,0.3401
2018-02-06,0.3234
2018-02-13,0.3435
2018-02-20,0.3268
2018-02-27,0.328
2018-03-06,0.3336
2018-03-13,0.3532
2018-03-20,0.25680000000000003
2018-03-27,0.3073
2018-04-03,0.3118
2018-04-10,0.2821
2018-04-17,0.3395
2018-04-24,0.3699
2018-05-01,0.2905
2018-07-16,0.3331
2018-07-23,0.2521
2018-07-30,1.323
2018-08-06,0.4551
2018-08-13,0.9462999999999999
2018-08-21,0.2842
2018-08-27,0.2575
2018-09-04,0.1971
2018-09-10,0.2359
2018-09-17,0.1957
2018-09-24,0.1765
2018-10-01,0.1751
2018-10-16,0.6179
2018-10-29,0.1892
2018-12-04,0.5378
2018-12-25,0.4808
2019-01-01,0.5269
2019-01-15,0.3695
2019-02-05,0.3087
2019-05-07,0.438
