date,npoc
YYYY-MM-DD,mg.L-1
2015-11-15,0.0
2015-11-23,0.0
2015-11-24,0.05830099999999999
2016-05-27,0.00164
2016-06-04,0.0
2016-06-11,0.0
2016-06-17,0.0
2016-06-29,0.0261
2016-07-08,0.0
2016-07-14,0.0
2016-07-15,0.0
2016-07-22,0.00714
2016-08-11,0.04715
2016-08-19,0.0485
2016-08-26,0.0568
2016-09-02,0.0611
2016-09-16,0.1161
2016-10-12,0.07721
2016-10-19,0.1022
2016-10-27,0.1258
2016-11-03,0.1483
2016-11-12,0.1352
2017-03-27,0.3744
2017-06-23,0.2253
2017-06-30,0.09711
2017-07-13,0.07253
2017-07-17,0.1272
2017-07-30,0.08546
2017-08-11,0.2347
2017-08-25,0.1525
2017-09-18,0.263
2017-09-27,0.0512
2017-10-14,0.0963
2017-10-23,0.0744
2017-11-03,0.13460000000000003
2017-11-14,0.3542
2017-11-16,0.0885
2018-01-16,0.3539
2018-01-25,0.13249999999999998
2018-03-04,0.3244
2018-03-13,0.3145
2018-03-17,0.1756
2018-05-07,0.1074
2018-06-03,0.2327
2018-06-08,0.1019
2018-06-15,0.1638
2018-06-25,0.3131
2018-07-11,0.1486
2018-07-12,0.1662
2018-07-19,0.4206
2018-08-31,0.1187
2018-09-01,0.13
2018-09-07,0.0437
2018-09-14,0.1585
2018-09-21,0.04777
2018-09-26,0.392
2018-09-28,0.03842
2018-10-05,0.2738
2018-10-11,0.3171
2018-10-12,0.04391
2018-10-18,0.1262
2018-10-21,0.07863
2018-10-25,0.0656
2018-11-02,0.0481
2018-11-10,0.02463
2018-11-16,0.01832
2018-11-17,0.3159
2019-01-23,0.3237
2019-07-27,0.07596
2019-07-29,0.1015
2019-08-13,0.1787
