date,npoc
YYYY-MM-DD,mg.L-1
2020-05-26,5.451
2020-10-09,1.097
2020-10-13,1.068
2020-10-21,0.9
2020-10-28,1.148
2020-11-04,0.862
2020-11-11,0.918
2020-11-17,0.6974
2020-11-25,0.709
2020-12-03,0.7333
2020-12-09,0.6636
2020-12-16,0.677
2020-12-26,0.6569
2020-12-31,0.6613
2021-01-07,0.7606
2021-01-14,0.627
2021-01-21,0.6472
2021-01-28,0.645
2021-02-07,0.6374
2021-02-11,0.6098
2021-02-19,0.6228
2021-02-27,0.6403
2021-03-05,0.6407
2021-03-12,0.6752
2021-03-19,0.6445
2021-03-26,0.704
2021-04-03,1.023
2021-04-09,2.338
2021-04-16,3.16
2021-04-23,2.79
2021-04-30,6.739
2021-05-19,5.063
2021-05-25,6.454
2021-05-26,4.749
2021-06-02,5.437
2021-06-09,5.173
2021-06-16,3.858
2021-06-23,3.077
2021-06-30,5.424
2021-07-07,4.183
2021-07-14,3.143
2021-07-21,1.892
2021-07-28,2.118
2021-08-04,3.68
2021-08-11,1.943
2021-08-18,1.114
2021-09-01,1.131
2021-09-08,0.9531
2021-09-15,0.8417
2021-09-22,0.809
2021-09-29,2.014
2021-10-05,1.223
2021-10-06,1.043
2021-10-13,1.22
2021-10-20,1.561
2021-10-27,1.676
2021-11-03,1.755
2021-11-10,1.392
2021-11-17,1.428
2021-11-24,1.434
2021-12-08,0.9613
2021-12-16,1.822
2021-12-23,1.406
