date,tdn
YYYY-MM-DD,g.L-1
2015-12-31,135.7
2016-01-12,122.9
2016-02-12,122.9
2016-02-18,123.0
2016-02-24,116.6
2016-03-04,123.3
2016-03-11,115.6
2016-03-18,132.7
2016-03-27,128.5
2016-03-28,141.2
2016-04-03,132.7
2016-04-04,145.2
2016-04-05,159.1
2016-04-07,177.8
2016-04-09,220.2
2016-04-11,200.3
2016-04-14,199.1
2016-04-16,193.4
2016-04-18,170.7
2016-04-20,149.0
2016-04-22,152.6
2016-04-24,171.6
2016-04-26,170.4
2016-04-28,150.0
2016-04-30,141.1
2016-05-02,115.8
2016-05-04,131.6
2016-05-06,211.6
2016-05-08,144.1
2016-05-10,175.1
2016-05-12,184.2
2016-05-14,162.0
2016-05-16,154.0
2016-05-18,147.4
2016-05-20,141.4
2016-05-22,159.7
2016-05-24,157.4
2016-05-26,139.7
2016-05-28,138.7
2016-05-30,131.1
2016-06-01,138.1
2016-06-03,148.1
2016-06-07,153.3
2016-06-09,148.6
2016-06-11,144.2
2016-06-13,154.0
2016-06-15,127.9
2016-06-17,131.9
2016-06-19,140.3
2016-06-21,125.0
2016-06-23,126.7
2016-06-25,118.2
2016-06-27,100.3
2016-06-29,116.1
2016-07-01,133.3
2016-07-03,161.8
2016-07-05,108.6
2016-07-07,112.9
2016-07-09,105.4
2016-07-11,92.0
2016-07-13,90.62
2016-07-15,84.41
2016-07-17,81.72
2016-07-19,112.8
2016-07-21,100.1
2016-07-23,86.36
2016-07-25,99.05
2016-07-27,84.1
2016-07-29,84.23
2016-07-31,83.11
2016-08-02,84.43
2016-08-04,86.36
2016-08-06,86.35
2016-08-08,132.7
2016-08-10,112.9
2016-08-12,108.2
2016-08-14,118.2
2016-08-16,93.79
2016-08-18,83.65
2016-08-20,81.2
2016-08-22,77.85
2016-08-24,85.44
2016-08-26,95.08
2016-08-28,81.22
2016-09-02,81.28
2016-09-03,87.18
2017-05-27,154.0
2017-05-28,139.3
2017-05-29,138.7
2017-05-30,136.1
2017-05-31,146.4
2017-06-01,135.6
2017-06-02,142.1
2017-06-03,139.6
2017-06-04,161.9
2017-06-05,141.9
2017-06-06,152.1
2017-06-07,146.6
2017-06-08,138.2
2017-06-09,138.8
2017-06-10,147.1
2017-06-11,138.7
2017-06-12,134.0
2017-06-13,136.1
2017-06-14,122.4
2017-06-15,130.6
2017-06-16,128.3
2017-06-17,148.7
2017-06-18,132.1
2017-06-19,140.8
2017-06-20,135.9
2017-06-21,137.3
2017-06-22,146.1
2017-06-23,129.5
2017-06-24,127.4
2017-06-25,116.9
2017-06-26,131.7
2017-06-27,120.5
2017-06-28,105.4
2017-06-29,108.9
2017-06-30,105.8
2017-07-01,104.8
2017-07-02,102.0
2017-07-03,100.9
2017-07-04,144.8
2017-07-05,150.3
2017-07-06,187.2
2017-07-07,154.7
2017-07-08,161.1
2017-07-09,98.96
2017-07-10,97.34
2017-07-11,85.74
2017-07-12,106.9
2017-07-13,101.6
2017-07-15,135.9
2017-07-18,137.5
2017-07-19,115.8
2017-07-20,179.1
2017-07-21,83.84
2017-07-22,82.88
2017-07-23,105.1
2017-07-24,98.75
2017-07-25,93.49
2017-07-26,103.3
2017-07-27,101.3
2017-07-28,76.19
2017-07-29,165.2
2017-07-30,138.8
2017-07-31,143.9
2017-08-01,90.61
2017-08-02,107.4
2017-08-03,80.93
2017-08-04,93.82
2017-08-05,86.6
2017-08-06,76.68
2017-08-07,74.67
2017-08-08,86.13
2017-08-09,129.5
2017-08-10,114.8
2017-08-11,102.8
2017-08-12,77.53
2017-08-13,82.8
2017-08-14,101.0
2017-08-15,91.48
2017-08-16,56.91
2017-08-17,66.09
2017-08-18,52.59
2017-08-19,63.56
2017-08-20,78.11
2017-08-21,58.64
2017-08-22,55.01
2017-08-23,66.18
2017-08-24,46.49
2017-08-25,60.73
2017-08-26,63.72
2017-08-27,71.25
2017-08-28,147.0
2017-08-29,85.07
2017-08-30,69.57
2017-08-31,65.17
2017-09-01,72.72
2017-09-02,84.96
2017-09-03,79.5
2017-09-04,71.11
2017-09-05,73.85
2017-09-17,87.01
2017-09-18,73.75
2017-09-19,299.2
2017-09-20,78.45
2017-09-21,75.82
2017-09-22,51.94
2017-09-23,39.24
2017-09-24,59.5
2017-09-25,65.59
2017-09-26,42.86
2017-09-27,42.26
2017-09-28,855.6
2017-09-29,53.79
2017-09-30,54.89
2017-10-01,80.72
2017-10-02,59.58
2017-10-03,57.38
2017-10-04,67.65
2017-10-05,73.31
2017-10-06,72.12
2017-10-07,62.2
2017-10-08,88.64
2017-10-09,58.94
2017-10-10,62.45
2017-10-20,85.47
2017-11-07,78.97
2018-04-28,200.2
2018-04-29,203.4
2018-04-30,205.4
2018-05-01,173.7
2018-05-02,174.2
2018-05-03,153.7
2018-05-04,153.1
2018-05-05,164.5
2018-05-06,164.3
2018-05-07,176.3
2018-05-08,174.9
2018-05-09,174.8
2018-05-10,163.2
2018-05-11,170.5
2018-05-12,174.8
2018-05-13,183.2
2018-05-14,180.9
2018-05-15,181.2
2018-05-16,159.2
2018-05-17,171.3
2018-05-18,176.8
2018-05-19,168.6
2018-05-20,167.7
2018-05-21,169.1
2018-05-22,182.0
2018-05-23,184.9
2018-05-24,407.2
2018-05-25,168.0
2018-05-26,169.2
2018-05-27,170.6
2018-05-28,175.0
2018-05-29,154.5
2018-05-30,160.5
2018-05-31,167.9
2018-06-01,165.3
2018-06-02,146.2
2018-06-03,141.6
2018-06-04,135.7
2018-06-05,129.3
2018-06-06,138.2
2018-06-07,154.6
2018-06-08,137.8
2018-06-09,122.3
2018-06-10,146.5
2018-06-11,115.0
2018-06-12,114.0
2018-06-13,117.3
2018-06-14,112.9
2018-06-15,108.0
2018-06-23,101.3
2018-06-24,90.75
2018-06-25,91.88
2018-06-26,89.6
2018-06-27,100.2
2018-06-28,87.89
2018-06-29,81.39
2018-06-30,64.38
2018-07-01,65.24
2018-07-02,64.41
2018-07-03,62.26
2018-07-04,65.63
2018-07-05,71.9
2018-07-06,66.39
2018-07-07,60.89
2018-07-08,61.64
2018-07-09,77.12
2018-07-10,68.66
2018-07-11,63.04
2018-07-12,65.17
2018-07-13,82.02
2018-07-14,81.32
2018-07-15,71.72
2018-07-16,63.74
2018-07-17,62.69
2018-07-18,65.79
2018-07-19,76.38
2018-08-08,87.4
2018-08-09,76.18
2018-08-10,88.18
2018-08-11,54.86
2018-08-12,72.88
2018-08-13,86.95
2018-08-14,66.01
2018-08-14,51.51
2018-08-15,62.12
2018-08-16,67.77
2018-08-17,74.13
2018-08-18,59.07
2018-08-19,65.62
2018-08-20,77.11
2018-08-21,72.93
2018-08-22,61.33
2018-08-23,61.96
2018-08-24,55.85
2018-08-25,55.67
2018-08-26,61.42
2018-08-27,67.31
2018-08-28,67.8
2018-08-29,65.69
2018-08-30,52.52
2018-09-01,59.62
2018-09-02,81.69
2018-09-03,54.36
2018-09-04,59.1
2018-09-05,60.66
2018-09-06,59.8
2018-09-07,112.8
2018-09-08,42.31
2018-09-09,53.74
2018-09-10,47.03
2018-09-11,54.05
2018-09-12,81.5
2018-09-13,55.82
2018-09-14,64.04
2018-09-15,76.51
2018-09-16,73.86
2018-09-17,71.26
2018-09-18,109.2
2018-09-19,67.11
2018-09-20,58.06
2018-09-21,79.28
2018-09-22,58.81
2018-09-23,75.31
2018-09-24,82.55
2018-09-25,67.17
2018-09-26,69.92
2018-09-28,116.8
2018-09-30,83.01
2018-10-01,71.22
2018-10-02,74.78
2018-10-03,81.24
2018-10-04,122.0
2018-10-05,85.71
2018-10-06,79.73
2018-10-07,94.09
2018-10-08,112.2
2018-10-09,79.92
2018-10-10,84.14
2018-10-11,75.75
2018-10-12,83.14
2018-10-13,84.56
2018-10-14,88.43
2018-10-15,77.71
2018-10-17,86.45
2018-10-18,85.22
2018-10-19,75.8
2018-10-20,108.5
2018-11-12,105.4
2018-11-27,92.41
2018-12-08,512.2
2018-12-28,130.1
2019-01-04,100.0
2019-01-11,509.4
2019-01-20,125.7
2019-01-27,138.6
2019-02-04,150.9
2019-02-11,121.0
2019-02-21,125.4
2019-03-05,115.3
2019-03-15,128.3
2019-03-23,68.54
2019-03-26,70.67
2019-03-27,71.64
2019-03-28,87.9
2019-04-04,110.1
2019-04-10,154.0
2019-04-11,187.6
2019-04-16,112.0
2019-04-17,101.4
2019-04-18,117.0
2019-04-19,139.3
2019-04-20,216.1
2019-04-21,208.8
2019-04-22,155.5
2019-04-23,168.9
2019-04-24,267.7
2019-04-25,248.0
2019-04-26,266.0
2019-04-27,235.5
2019-04-28,236.3
2019-04-29,247.8
2019-04-30,236.7
2019-05-01,214.4
2019-05-02,169.9
2019-05-03,170.1
2019-05-04,203.8
2019-05-05,159.6
2019-05-06,164.6
2019-05-07,192.0
2019-05-08,175.7
2019-05-09,189.7
2019-05-10,162.1
2019-05-11,140.0
2019-05-12,139.0
2019-05-13,139.1
2019-05-14,149.1
2019-05-15,168.0
2019-05-16,176.1
2019-05-17,175.3
2019-05-18,160.5
2019-05-19,158.3
2019-05-20,157.2
2019-05-21,141.9
2019-05-22,139.5
2019-05-23,137.8
2019-05-24,142.1
2019-05-25,127.9
2019-05-26,141.6
2019-05-27,139.2
2019-05-28,133.1
2019-05-29,136.3
2019-05-30,140.8
2019-05-31,123.5
2019-06-01,139.1
2019-06-02,148.9
2019-06-03,177.6
2019-06-04,161.6
2019-06-05,167.4
2019-06-06,172.4
2019-06-07,167.4
2019-06-08,165.7
2019-06-09,194.9
2019-06-10,175.8
2019-06-10,186.0
2019-06-10,190.1
2019-06-10,174.2
2019-06-11,169.5
2019-06-11,189.8
2019-06-11,182.9
2019-06-11,174.6
2019-06-11,169.2
2019-06-11,195.5
2019-06-11,193.6
2019-06-11,185.5
2019-06-11,183.5
2019-06-11,179.0
2019-06-11,187.7
2019-06-11,175.2
2019-06-11,181.9
2019-06-11,181.3
2019-06-11,182.6
2019-06-11,166.0
2019-06-11,190.9
2019-06-11,194.0
2019-06-11,173.7
2019-06-11,174.7
2019-06-11,169.0
2019-06-12,149.3
2019-06-13,159.4
2019-06-14,150.5
2019-06-15,142.5
2019-06-16,141.2
2019-06-24,126.8
2019-06-25,143.7
2019-06-26,125.0
2019-06-27,123.6
2019-06-28,128.4
2019-06-29,134.9
2019-06-30,159.1
2019-07-01,156.3
2019-07-02,141.6
2019-07-03,128.8
2019-07-04,126.0
2019-07-05,128.4
2019-07-06,174.1
2019-07-07,124.3
2019-07-08,125.1
2019-07-09,130.1
2019-07-10,129.1
2019-07-11,109.1
2019-07-12,114.8
2019-07-13,115.4
2019-07-14,113.2
2019-07-15,113.7
2019-07-16,104.5
2019-07-17,137.4
2019-07-18,119.4
2019-07-19,94.54
2019-07-20,100.1
2019-07-21,95.62
2019-07-22,101.7
2019-07-23,86.71
2019-07-24,91.04
2019-07-25,85.49
2019-07-26,99.53
2019-07-26,89.81
2019-07-26,111.1
2019-07-26,96.0
2019-07-26,94.47
2019-07-26,100.2
2019-07-27,93.48
2019-07-27,92.65
2019-07-27,99.84
2019-07-27,91.39
2019-07-27,92.74
2019-07-27,99.29
2019-07-27,98.07
2019-07-27,94.24
2019-07-27,89.22
2019-07-27,98.0
2019-07-27,91.62
2019-07-27,110.1
2019-07-27,93.72
2019-07-27,99.7
2019-07-27,94.6
2019-07-27,92.62
2019-07-27,88.08
2019-07-27,88.9
2019-07-27,101.0
2019-07-28,116.0
2019-07-29,97.15
2019-07-30,82.83
2019-07-31,100.5
2019-08-01,90.82
2019-08-02,102.2
2019-08-03,94.05
2019-08-04,88.77
2019-08-05,121.6
2019-08-06,86.21
2019-08-07,77.15
2019-08-08,78.02
2019-08-09,72.57
2019-08-10,120.2
2019-08-11,66.95
2019-08-12,91.66
2019-08-13,89.42
2019-08-17,71.16
2019-08-18,71.47
