date,tdn
YYYY-MM-DD,g.L-1
2016-02-21,153.5
2016-03-09,158.9
2016-03-17,138.0
2016-03-24,136.1
2016-03-31,146.5
2016-04-08,165.5
2016-04-21,161.4
2016-06-22,106.0
2016-06-23,77.3
2016-06-24,100.4
2016-06-25,64.39
2016-06-26,90.12
2016-06-27,87.04
2016-06-28,87.76
2016-06-29,56.49
2016-06-30,83.93
2016-07-01,115.8
2016-07-02,96.31
2016-07-03,92.8
2016-07-04,86.49
2016-07-05,98.57
2016-07-06,106.8
2016-07-07,106.0
2016-07-08,85.14
2016-07-09,88.28
2016-07-10,115.3
2016-07-11,94.25
2016-07-12,92.52
2016-07-13,90.59
2016-07-14,98.28
2016-07-15,83.69
2016-07-16,63.54
2016-07-17,74.11
2016-07-18,66.35
2016-07-19,67.31
2016-07-20,76.22
2016-07-21,72.03
2016-07-22,68.83
2016-07-23,81.77
2016-07-24,82.77
2016-07-25,77.49
2016-07-26,79.75
2016-07-27,68.05
2016-07-28,73.04
2016-07-29,97.0
2016-07-30,71.88
2016-07-31,82.15
2016-08-01,72.14
2016-08-02,69.9
2016-08-03,79.53
2016-08-04,96.83
2016-08-05,150.5
2016-08-06,124.5
2016-08-07,130.2
2016-08-08,105.6
2016-08-09,112.0
2016-08-10,111.7
2016-08-11,107.0
2016-08-12,100.3
2016-08-13,125.1
2016-08-14,82.46
2016-08-15,93.05
2016-08-16,85.39
2016-08-17,87.74
2016-08-18,95.75
2016-08-19,108.8
2016-08-20,96.63
2016-08-21,112.4
2016-08-22,89.91
2016-08-23,109.2
2016-08-26,112.2
2017-03-19,147.2
2017-04-12,129.5
2017-04-30,133.9
2017-05-11,171.4
2017-05-14,193.2
2017-05-30,1270.0
2017-06-15,132.3
2017-06-30,108.5
2017-07-13,91.82
2017-07-30,88.13
2017-08-25,88.94
2017-09-14,80.33
2017-09-27,71.25
2017-10-14,82.46
2017-10-23,94.37
2017-11-03,92.39
2017-11-16,107.7
2018-03-04,136.7
2018-03-07,132.9
2018-03-17,118.8
2018-03-25,119.7
2018-06-08,103.5
2018-06-15,89.9
2018-06-25,76.45
2018-07-11,91.72
2018-07-15,66.79
2018-08-10,63.55
2018-08-17,67.89
2018-08-24,108.8
2018-08-31,310.7
2018-09-07,102.0
2018-09-14,80.95
2018-09-21,85.07
2018-09-28,140.8
2018-10-05,162.1
2018-10-12,116.0
2018-10-19,95.62
2018-10-25,86.55
2018-11-02,90.18
2018-11-10,109.7
2018-11-17,106.5
2018-12-03,145.7
2018-12-21,137.6
2019-01-03,125.3
2019-01-11,123.3
2019-01-29,162.8
2019-02-10,141.3
2019-02-21,156.3
2019-05-31,192.9
2019-06-05,197.3
2019-06-11,195.5
2019-06-21,160.8
2019-06-27,394.5
2019-07-05,138.3
2019-07-14,98.81
2019-07-19,119.3
2019-07-26,106.0
2019-08-02,81.87
2019-08-09,186.9
2019-08-16,101.4
2019-08-23,155.7
2019-08-30,77.01
2019-09-06,89.48
2019-09-13,141.7
2019-09-20,205.1
2019-09-27,84.16
2019-10-04,272.5
2019-10-11,72.72
2019-10-19,113.8
2019-10-25,83.06
2019-11-03,107.4
2019-11-08,92.31
2019-11-15,207.2
2019-11-22,505.7
2019-12-04,173.3
2019-12-12,158.6
2019-12-20,141.9
2020-01-08,144.9
2020-01-15,127.5
2020-01-21,129.7
2020-01-28,178.9
2020-02-11,136.3
2020-02-20,142.4
2020-03-01,126.8
2020-03-11,138.9
2020-03-17,143.2
2020-04-03,214.2
2020-04-09,209.2
2020-04-14,190.7
2020-04-24,204.1
2020-04-28,230.4
2020-05-14,195.0
2020-05-22,160.3
2020-05-29,166.7
2020-06-05,134.4
2020-06-12,132.0
2020-06-19,118.2
2020-06-26,133.1
2020-07-02,103.9
2020-07-10,102.6
2020-07-17,77.34
2020-07-23,73.68
2020-07-30,78.29
2020-08-07,67.15
2020-08-14,74.89
2020-08-20,69.0
2020-08-27,62.29
2020-09-03,93.03
2020-09-11,71.76
2020-09-18,88.79
2020-09-24,84.59
2020-10-01,88.39
2020-10-08,78.63
2020-10-16,79.61
2020-10-23,71.71
2020-10-27,152.9
2020-11-06,107.9
2020-11-13,115.3
2020-11-20,146.1
2020-12-04,135.7
2020-12-31,151.8
2021-01-08,166.1
2021-01-15,146.9
2021-01-21,131.9
2021-01-28,132.7
2021-02-05,136.2
2021-02-11,131.1
2021-02-17,129.1
2021-02-25,120.6
2021-03-03,124.9
2021-03-10,126.0
2021-03-19,128.7
2021-03-25,136.0
2021-03-30,147.9
2021-04-07,255.4
2021-04-14,245.8
2021-05-17,301.3
2021-05-28,447.2
2021-06-04,269.9
2021-08-13,86.33
2021-08-19,115.1
2021-08-27,121.4
2021-09-03,141.3
2021-10-01,92.28
2021-10-07,101.3
2021-10-22,121.9
2021-10-27,110.9
2021-11-03,108.9
2021-11-11,100.1
2021-12-20,198.7
2022-10-15,138.2
