date,tdn
YYYY-MM-DD,g.L-1
2020-06-03,374.8
2020-06-16,368.8
2020-06-30,430.9
2020-07-14,368.1
2020-07-21,450.2
2020-07-29,456.6
2020-08-04,465.2
2020-08-12,406.1
2020-08-19,396.8
2020-08-24,395.4
2020-09-01,396.7
2020-09-10,408.7
2020-09-14,405.4
2020-09-23,409.2
2020-09-29,403.4
2020-10-05,398.9
2020-10-13,392.0
2020-10-20,409.4
2020-10-28,392.9
2020-11-03,391.9
2020-11-19,255.2
2020-12-03,305.7
2021-01-20,371.2
2021-02-19,259.3
2021-03-09,243.8
2021-04-28,234.2
2021-05-04,216.6
2021-05-13,253.9
2021-05-18,245.6
2021-06-02,229.6
2021-06-08,257.5
2021-06-15,176.1
2021-06-22,173.2
2021-07-01,186.7
2021-07-07,221.6
2021-07-20,198.6
2021-07-27,213.2
2021-08-04,169.3
2021-08-10,169.9
2021-08-17,163.4
2021-08-24,185.0
2021-08-31,193.6
2021-09-08,214.3
2021-09-27,329.2
2021-10-04,190.2
2021-10-15,183.8
2021-10-20,198.3
2021-10-28,166.3
2021-11-04,205.6
2021-11-08,181.7
2021-12-01,155.6
