date,tdn
YYYY-MM-DD,g.L-1
2016-02-21,171.4
2016-03-09,187.8
2016-03-24,172.7
2016-03-31,177.8
2016-04-08,176.6
2016-04-21,271.0
2016-08-12,112.2
2016-08-19,98.17
2016-08-26,138.6
2016-09-02,166.6
2017-03-19,204.6
2017-04-12,179.7
2017-04-30,128.1
2017-06-30,98.26
2017-07-30,88.49
2017-08-25,103.1
2017-09-14,113.8
2017-09-27,100.4
2017-10-14,115.3
2017-10-23,105.0
2017-11-03,99.96
2017-11-16,122.9
2018-03-03,175.7
2018-05-25,152.8
2018-06-08,85.77
2018-06-15,85.64
2018-06-25,107.5
2018-07-09,83.9
2018-07-15,93.42
2018-08-10,247.2
2018-08-17,97.47
2018-08-24,156.0
2018-08-31,447.3
2018-09-07,125.3
2018-09-14,128.2
2018-09-21,111.4
2018-09-28,270.6
2018-10-05,240.9
2018-10-12,170.6
2018-10-18,153.1
2018-10-25,134.3
2018-11-02,130.3
2018-11-10,160.9
2018-11-17,147.4
2018-12-14,180.3
2018-12-20,216.8
2019-01-29,371.9
2019-06-05,178.5
2019-06-11,245.0
2019-06-21,217.6
2019-06-27,338.7
2019-07-05,130.3
2019-07-14,105.4
2019-07-19,82.82
2019-07-26,66.33
2019-08-02,80.14
2019-08-09,150.8
2019-08-16,102.2
2019-08-23,51.91
2019-08-30,50.87
2019-09-06,58.58
2019-09-13,72.01
2019-09-20,71.01
2019-09-27,69.84
2019-10-04,112.6
2019-10-11,59.48
2019-10-19,89.91
2019-10-25,94.8
2019-11-03,88.23
2019-11-08,101.3
2019-11-15,112.2
2019-11-22,137.3
2019-12-04,568.7
2019-12-12,149.7
2019-12-20,137.9
2020-01-08,156.1
2020-01-21,587.9
2020-01-28,180.3
2020-02-11,165.9
2020-02-20,164.3
2020-03-11,182.0
2020-03-17,167.2
2020-04-03,252.2
2020-04-09,220.3
2020-04-14,223.8
2020-04-24,187.5
2020-05-22,304.9
2020-05-29,196.1
2020-06-05,159.5
2020-06-12,146.8
2020-06-19,137.7
2020-06-26,121.1
2020-07-02,112.1
2020-07-10,116.1
2020-07-17,99.73
2020-07-23,95.13
2020-07-30,91.95
2020-08-07,151.7
2020-08-14,98.5
2020-08-20,78.49
2020-08-27,83.71
2020-09-03,112.3
2020-09-11,105.4
2020-09-18,129.4
2020-09-24,98.1
2020-10-01,101.4
2020-10-08,116.3
2020-10-16,98.29
2020-10-23,94.41
2020-10-27,122.6
2020-11-06,113.5
2020-11-13,127.6
2020-12-04,158.5
2021-01-08,237.0
2021-01-15,172.2
2021-01-28,210.6
2021-02-11,155.1
2021-03-03,287.8
2021-03-19,163.1
2021-03-25,192.2
2021-04-07,259.5
2021-05-17,306.4
2021-05-28,236.4
2021-06-04,264.3
2021-07-23,191.4
2021-07-30,136.4
2021-07-31,146.6
2021-08-06,148.1
2021-08-13,150.4
2021-08-19,192.0
2021-08-27,194.5
2021-10-01,162.4
2021-10-07,174.8
2021-10-22,172.9
2021-10-27,149.7
2021-11-03,167.5
2021-11-11,152.5
2022-10-15,166.7
