energy,M6_unweathered,M6_unweathered_fit,energy,M6_weathered,M6_weathered_fit,energy,GRO_top,GRO_top fit,GRO_middle,GRO_middle_fit,GRO_bottom,GRO_bottom_fit
280,9.41E-04,1.45E-02,280,6.31E-03,1.45E-02,280,4.70E-03,1.45E-02,1.67E-03,1.45E-02,5.08E-03,1.45E-02
280.1,3.77E-03,1.46E-02,280.1,6.14E-03,1.46E-02,280.1,2.80E-03,1.46E-02,1.11E-02,1.46E-02,4.42E-03,1.46E-02
280.2,2.27E-03,1.48E-02,280.2,6.89E-03,1.48E-02,280.2,5.94E-03,1.48E-02,3.50E-03,1.48E-02,7.47E-03,1.48E-02
280.3,5.65E-03,1.49E-02,280.3,3.24E-03,1.49E-02,280.3,4.87E-03,1.49E-02,6.62E-03,1.49E-02,6.87E-03,1.49E-02
280.4,4.91E-03,1.50E-02,280.4,3.76E-03,1.50E-02,280.4,7.11E-03,1.50E-02,5.62E-03,1.50E-02,3.38E-03,1.50E-02
280.5,7.59E-03,1.52E-02,280.5,6.07E-03,1.52E-02,280.5,6.46E-03,1.52E-02,5.95E-03,1.52E-02,6.05E-03,1.52E-02
280.6,1.04E-02,1.53E-02,280.6,8.48E-03,1.53E-02,280.6,1.01E-02,1.53E-02,1.10E-02,1.53E-02,1.10E-02,1.53E-02
280.7,5.19E-03,1.55E-02,280.7,4.43E-03,1.55E-02,280.7,1.35E-02,1.55E-02,7.88E-03,1.55E-02,9.23E-03,1.55E-02
280.8,9.04E-03,1.57E-02,280.8,1.10E-02,1.56E-02,280.8,6.99E-03,1.57E-02,9.02E-03,1.57E-02,1.06E-02,1.57E-02
280.9,9.76E-03,1.58E-02,280.9,6.06E-03,1.58E-02,280.9,1.18E-02,1.58E-02,7.23E-03,1.58E-02,1.18E-02,1.58E-02
281,8.12E-03,1.60E-02,281,9.53E-03,1.60E-02,281,1.25E-02,1.60E-02,1.33E-02,1.60E-02,9.31E-03,1.60E-02
281.1,1.31E-02,1.62E-02,281.1,1.20E-02,1.61E-02,281.1,2.15E-02,1.62E-02,1.52E-02,1.62E-02,1.53E-02,1.62E-02
281.2,1.00E-02,1.63E-02,281.2,1.09E-02,1.63E-02,281.2,1.52E-02,1.63E-02,1.11E-02,1.63E-02,1.34E-02,1.63E-02
