energy,MC1_55_75_spot1,MC1_55_75_spot1_fit,MC1_55_75_spot2,MC1_55_75_spot2_fit,MC3_105_140_spot1,MC3_105_140_spot1_fit,MC3_105_140_spot2,MC3_105_140_spot2_fit,MC3_105_140_spot3,MC3_105_140_spot3_fit,MC3_105_140_spot4,MC3_105_140_spot4_fit
280.15,1.46E-02,1.47E-02,1.21E-02,1.47E-02,8.09E-04,1.47E-02,-2.04E-03,1.47E-02,-1.28E-02,1.47E-02,-1.35E-03,1.47E-02
280.65,-5.89E-03,1.54E-02,-1.64E-02,1.54E-02,4.19E-03,1.54E-02,-8.92E-03,1.54E-02,-2.03E-03,1.54E-02,-7.89E-04,1.54E-02
281.15,-1.48E-02,1.62E-02,9.55E-03,1.62E-02,-1.05E-02,1.62E-02,2.28E-02,1.62E-02,1.69E-02,1.62E-02,-8.90E-03,1.63E-02
281.441,-4.57E-03,1.67E-02,-1.59E-02,1.67E-02,-2.57E-03,1.67E-02,4.76E-03,1.68E-02,5.91E-03,1.67E-02,-2.90E-04,1.68E-02
281.732,-7.44E-03,1.73E-02,-2.61E-03,1.73E-02,1.17E-02,1.73E-02,-2.28E-02,1.74E-02,5.83E-03,1.73E-02,1.57E-03,1.74E-02
282.023,1.71E-02,1.81E-02,1.80E-02,1.80E-02,-3.61E-03,1.82E-02,6.19E-03,1.82E-02,1.59E-02,1.80E-02,-8.34E-03,1.80E-02
282.314,1.43E-03,2.00E-02,-4.90E-03,1.95E-02,-2.58E-02,2.05E-02,-8.58E-03,2.05E-02,-2.26E-02,1.90E-02,1.44E-02,1.82E-02
282.605,-5.15E-03,2.63E-02,7.71E-05,2.35E-02,4.84E-03,2.82E-02,-2.01E-04,2.81E-02,-1.99E-02,2.14E-02,3.68E-03,1.69E-02
282.896,4.73E-03,4.35E-02,1.43E-02,3.41E-02,1.50E-02,4.93E-02,6.98E-02,4.91E-02,1.28E-02,2.71E-02,1.24E-02,1.18E-02
283.187,9.27E-03,7.69E-02,-3.15E-03,5.49E-02,5.58E-02,9.03E-02,6.50E-02,8.97E-02,1.27E-02,3.83E-02,-3.89E-03,1.21E-03
283.478,2.00E-02,0.12118029,5.77E-02,8.53E-02,0.11190937,0.14428943,0.10372515,0.14288201,3.75E-02,5.60E-02,-9.09E-03,-1.10E-02
283.769,0.16474068,0.16634995,0.12875389,0.12833193,0.16765501,0.19742008,0.15725952,0.19411397,7.41E-02,8.61E-02,1.48E-02,-1.53E-02
284.06,0.28531994,0.22615482,0.22625199,0.20870574,0.30385449,0.26387967,0.31469775,0.25582704,0.17258636,0.14986412,1.08E-02,-4.90E-03
284.351,0.49077859,0.33317129,0.4463406,0.35570643,0.4967222,0.38185553,0.44974381,0.36449234,0.32504093,0.26854302,-2.51E-02,1.56E-02
284.55,0.44333589,0.43087991,0.49962294,0.48161706,0.51012814,0.48997838,0.45515175,0.46393305,0.41495192,0.37177876,-9.69E-03,2.99E-02
