Location ID,sample ID,depth_cm bgs,NH4_mmol/g,sd_mmol/g
ER-MZA1,MZA1-1,0-20,5.63E-03,2.66E-05
ER-MZA1,MZA1-2,20-29,2.14E-03,1.55E-04
ER-MZA1,MZA1-3,45-60,7.56E-04,5.76E-05
ER-MZA1,MZA1-4,80-94,5.10E-04,3.88E-05
ER-MZA5,MZA5-1,0-18,5.60E-03,2.28E-03
ER-MZA5,MZA5-2,18-30,4.45E-03,4.21E-06
ER-MZA5,MZA5-3,30-50,9.38E-04,1.37E-04
ER-MZA5,MZA5-4,50-70,7.94E-04,1.05E-05
ER-MZA5,MZA5-5,70-75,2.16E-04,2.16E-05
ER-MZA5,MZA5-6,75-87,4.86E-04,1.92E-05
ER-MZA5,MZA5-7,~90,NM,NM
ER-MZB1,MZB1-1,0-15,3.36E-03,7.32E-05
ER-MZB1,MZB1-2,18-33,3.60E-03,4.56E-05
ER-MZB1,MZB1-3,33-40,NM,NM
ER-MZB1,MZB1-4,50-60,1.82E-03,6.43E-05
ER-MZB3,MZB3-1,0-18,3.91E-03,2.48E-03
ER-MZB3,MZB3-2,18-40,3.17E-04,2.74E-04
ER-MZB5,MZB5-1,0-15,5.49E-03,3.57E-06
ER-MZB5,MZB5-2,18-30,1.62E-03,3.27E-05
ER-MZB5,MZB5-3,30-55,1.30E-03,2.15E-05
ER-MZB5,MZB5-4,57-70,2.85E-04,6.71E-05
ER-MYP1,MYP1-1,0-18,5.95E-03,2.42E-05
ER-MYP1,MYP1-2,18-28,1.81E-03,3.83E-04
ER-MYP1,MYP1-3,28-43,5.23E-04,9.23E-06
