TIME_UNITS h
DATA_UNITS m
!h	x	y	z
0.00000E+00	0.00000E+00	0.00000E+00	1.94006E+00
1.00000E+00	0.00000E+00	0.00000E+00	1.94006E+00
2.00000E+00	0.00000E+00	0.00000E+00	1.95067E+00
3.00000E+00	0.00000E+00	0.00000E+00	1.95648E+00
4.00000E+00	0.00000E+00	0.00000E+00	1.96740E+00
5.00000E+00	0.00000E+00	0.00000E+00	1.97290E+00
6.00000E+00	0.00000E+00	0.00000E+00	1.97923E+00
7.00000E+00	0.00000E+00	0.00000E+00	1.98586E+00
8.00000E+00	0.00000E+00	0.00000E+00	1.99616E+00
9.00000E+00	0.00000E+00	0.00000E+00	2.00738E+00
1.00000E+01	0.00000E+00	0.00000E+00	1.96546E+00
1.10000E+01	0.00000E+00	0.00000E+00	1.90406E+00
1.20000E+01	0.00000E+00	0.00000E+00	1.93251E+00
1.30000E+01	0.00000E+00	0.00000E+00	1.93690E+00
1.40000E+01	0.00000E+00	0.00000E+00	1.93843E+00
1.50000E+01	0.00000E+00	0.00000E+00	1.94843E+00
1.60000E+01	0.00000E+00	0.00000E+00	1.99167E+00
1.70000E+01	0.00000E+00	0.00000E+00	1.96821E+00
1.80000E+01	0.00000E+00	0.00000E+00	1.99646E+00
1.90000E+01	0.00000E+00	0.00000E+00	1.99616E+00
2.00000E+01	0.00000E+00	0.00000E+00	1.99279E+00
2.10000E+01	0.00000E+00	0.00000E+00	1.98637E+00
2.20000E+01	0.00000E+00	0.00000E+00	1.98239E+00
2.30000E+01	0.00000E+00	0.00000E+00	1.97902E+00
2.40000E+01	0.00000E+00	0.00000E+00	1.98310E+00
2.50000E+01	0.00000E+00	0.00000E+00	1.98892E+00
2.60000E+01	0.00000E+00	0.00000E+00	1.99351E+00
2.70000E+01	0.00000E+00	0.00000E+00	2.00003E+00
2.80000E+01	0.00000E+00	0.00000E+00	2.01319E+00
2.90000E+01	0.00000E+00	0.00000E+00	2.02094E+00
3.00000E+01	0.00000E+00	0.00000E+00	2.02920E+00
3.10000E+01	0.00000E+00	0.00000E+00	2.03440E+00
3.20000E+01	0.00000E+00	0.00000E+00	2.03665E+00
3.30000E+01	0.00000E+00	0.00000E+00	2.04267E+00
3.40000E+01	0.00000E+00	0.00000E+00	1.99789E+00
3.50000E+01	0.00000E+00	0.00000E+00	1.95352E+00
3.60000E+01	0.00000E+00	0.00000E+00	1.96790E+00
3.70000E+01	0.00000E+00	0.00000E+00	1.97229E+00
3.80000E+01	0.00000E+00	0.00000E+00	1.96566E+00
3.90000E+01	0.00000E+00	0.00000E+00	1.97882E+00
4.00000E+01	0.00000E+00	0.00000E+00	2.00075E+00
4.10000E+01	0.00000E+00	0.00000E+00	2.01594E+00
4.20000E+01	0.00000E+00	0.00000E+00	2.01380E+00
4.30000E+01	0.00000E+00	0.00000E+00	2.01084E+00
4.40000E+01	0.00000E+00	0.00000E+00	2.00564E+00
4.50000E+01	0.00000E+00	0.00000E+00	1.99840E+00
4.60000E+01	0.00000E+00	0.00000E+00	1.99116E+00
4.70000E+01	0.00000E+00	0.00000E+00	1.98779E+00
4.80000E+01	0.00000E+00	0.00000E+00	1.98412E+00
4.90000E+01	0.00000E+00	0.00000E+00	1.98473E+00
5.00000E+01	0.00000E+00	0.00000E+00	1.99361E+00
5.10000E+01	0.00000E+00	0.00000E+00	2.00411E+00
5.20000E+01	0.00000E+00	0.00000E+00	2.00850E+00
5.30000E+01	0.00000E+00	0.00000E+00	2.01013E+00
5.40000E+01	0.00000E+00	0.00000E+00	2.02053E+00
5.50000E+01	0.00000E+00	0.00000E+00	2.02064E+00
5.60000E+01	0.00000E+00	0.00000E+00	2.02594E+00
5.70000E+01	0.00000E+00	0.00000E+00	2.02166E+00
5.80000E+01	0.00000E+00	0.00000E+00	1.96913E+00
5.90000E+01	0.00000E+00	0.00000E+00	1.95811E+00
6.00000E+01	0.00000E+00	0.00000E+00	1.95526E+00
6.10000E+01	0.00000E+00	0.00000E+00	1.96383E+00
6.20000E+01	0.00000E+00	0.00000E+00	1.97137E+00
6.30000E+01	0.00000E+00	0.00000E+00	1.98973E+00
6.40000E+01	0.00000E+00	0.00000E+00	2.00024E+00
6.50000E+01	0.00000E+00	0.00000E+00	1.99769E+00
6.60000E+01	0.00000E+00	0.00000E+00	1.99626E+00
6.70000E+01	0.00000E+00	0.00000E+00	1.99616E+00
6.80000E+01	0.00000E+00	0.00000E+00	1.98810E+00
6.90000E+01	0.00000E+00	0.00000E+00	1.98096E+00
7.00000E+01	0.00000E+00	0.00000E+00	1.97535E+00
7.10000E+01	0.00000E+00	0.00000E+00	1.97086E+00
7.20000E+01	0.00000E+00	0.00000E+00	1.96933E+00
7.30000E+01	0.00000E+00	0.00000E+00	1.98422E+00
7.40000E+01	0.00000E+00	0.00000E+00	1.99034E+00
7.50000E+01	0.00000E+00	0.00000E+00	1.99249E+00
7.60000E+01	0.00000E+00	0.00000E+00	2.00207E+00
7.70000E+01	0.00000E+00	0.00000E+00	2.01064E+00
7.80000E+01	0.00000E+00	0.00000E+00	2.01717E+00
7.90000E+01	0.00000E+00	0.00000E+00	2.02104E+00
8.00000E+01	0.00000E+00	0.00000E+00	2.02676E+00
8.10000E+01	0.00000E+00	0.00000E+00	2.01227E+00
8.20000E+01	0.00000E+00	0.00000E+00	1.97596E+00
8.30000E+01	0.00000E+00	0.00000E+00	1.96872E+00
8.40000E+01	0.00000E+00	0.00000E+00	1.97688E+00
8.50000E+01	0.00000E+00	0.00000E+00	1.97576E+00
8.60000E+01	0.00000E+00	0.00000E+00	2.00085E+00
8.70000E+01	0.00000E+00	0.00000E+00	2.03716E+00
8.80000E+01	0.00000E+00	0.00000E+00	2.04471E+00
8.90000E+01	0.00000E+00	0.00000E+00	2.05134E+00
9.00000E+01	0.00000E+00	0.00000E+00	2.04399E+00
9.10000E+01	0.00000E+00	0.00000E+00	2.03930E+00
9.20000E+01	0.00000E+00	0.00000E+00	2.03267E+00
9.30000E+01	0.00000E+00	0.00000E+00	2.02890E+00
9.40000E+01	0.00000E+00	0.00000E+00	2.02278E+00
9.50000E+01	0.00000E+00	0.00000E+00	2.02237E+00
9.60000E+01	0.00000E+00	0.00000E+00	2.01900E+00
9.70000E+01	0.00000E+00	0.00000E+00	2.01350E+00
9.80000E+01	0.00000E+00	0.00000E+00	2.01401E+00
9.90000E+01	0.00000E+00	0.00000E+00	2.00952E+00
1.00000E+02	0.00000E+00	0.00000E+00	2.00891E+00
1.01000E+02	0.00000E+00	0.00000E+00	2.00809E+00
1.02000E+02	0.00000E+00	0.00000E+00	2.01809E+00
1.03000E+02	0.00000E+00	0.00000E+00	2.02839E+00
1.04000E+02	0.00000E+00	0.00000E+00	2.03369E+00
1.05000E+02	0.00000E+00	0.00000E+00	2.00789E+00
1.06000E+02	0.00000E+00	0.00000E+00	2.01125E+00
1.07000E+02	0.00000E+00	0.00000E+00	2.00819E+00
1.08000E+02	0.00000E+00	0.00000E+00	2.01758E+00
1.09000E+02	0.00000E+00	0.00000E+00	2.02665E+00
1.10000E+02	0.00000E+00	0.00000E+00	2.04838E+00
1.11000E+02	0.00000E+00	0.00000E+00	2.05654E+00
1.12000E+02	0.00000E+00	0.00000E+00	2.07041E+00
1.13000E+02	0.00000E+00	0.00000E+00	2.06510E+00
1.14000E+02	0.00000E+00	0.00000E+00	2.07959E+00
1.15000E+02	0.00000E+00	0.00000E+00	2.07755E+00
1.16000E+02	0.00000E+00	0.00000E+00	2.07224E+00
1.17000E+02	0.00000E+00	0.00000E+00	2.06786E+00
1.18000E+02	0.00000E+00	0.00000E+00	2.06266E+00
1.19000E+02	0.00000E+00	0.00000E+00	2.05898E+00
1.20000E+02	0.00000E+00	0.00000E+00	2.06143E+00
1.21000E+02	0.00000E+00	0.00000E+00	2.06898E+00
1.22000E+02	0.00000E+00	0.00000E+00	2.07816E+00
1.23000E+02	0.00000E+00	0.00000E+00	2.08101E+00
1.24000E+02	0.00000E+00	0.00000E+00	2.08999E+00
1.25000E+02	0.00000E+00	0.00000E+00	2.09580E+00
1.26000E+02	0.00000E+00	0.00000E+00	2.10284E+00
1.27000E+02	0.00000E+00	0.00000E+00	2.11131E+00
1.28000E+02	0.00000E+00	0.00000E+00	2.11141E+00
1.29000E+02	0.00000E+00	0.00000E+00	2.11171E+00
1.30000E+02	0.00000E+00	0.00000E+00	2.06255E+00
1.31000E+02	0.00000E+00	0.00000E+00	2.06929E+00
1.32000E+02	0.00000E+00	0.00000E+00	2.08122E+00
1.33000E+02	0.00000E+00	0.00000E+00	2.09927E+00
1.34000E+02	0.00000E+00	0.00000E+00	2.09295E+00
1.35000E+02	0.00000E+00	0.00000E+00	2.07857E+00
1.36000E+02	0.00000E+00	0.00000E+00	2.08581E+00
1.37000E+02	0.00000E+00	0.00000E+00	2.08285E+00
1.38000E+02	0.00000E+00	0.00000E+00	2.10315E+00
1.39000E+02	0.00000E+00	0.00000E+00	2.10916E+00
1.40000E+02	0.00000E+00	0.00000E+00	2.09366E+00
1.41000E+02	0.00000E+00	0.00000E+00	2.10192E+00
1.42000E+02	0.00000E+00	0.00000E+00	2.10192E+00
1.43000E+02	0.00000E+00	0.00000E+00	2.09213E+00
1.44000E+02	0.00000E+00	0.00000E+00	2.08438E+00
1.45000E+02	0.00000E+00	0.00000E+00	2.08581E+00
1.46000E+02	0.00000E+00	0.00000E+00	2.07663E+00
1.47000E+02	0.00000E+00	0.00000E+00	2.07602E+00
1.48000E+02	0.00000E+00	0.00000E+00	2.07551E+00
1.49000E+02	0.00000E+00	0.00000E+00	2.07806E+00
1.50000E+02	0.00000E+00	0.00000E+00	2.06837E+00
1.51000E+02	0.00000E+00	0.00000E+00	2.06847E+00
1.52000E+02	0.00000E+00	0.00000E+00	2.06500E+00
1.53000E+02	0.00000E+00	0.00000E+00	2.06439E+00
1.54000E+02	0.00000E+00	0.00000E+00	2.07938E+00
1.55000E+02	0.00000E+00	0.00000E+00	2.08601E+00
1.56000E+02	0.00000E+00	0.00000E+00	2.08734E+00
1.57000E+02	0.00000E+00	0.00000E+00	2.08866E+00
1.58000E+02	0.00000E+00	0.00000E+00	2.09662E+00
1.59000E+02	0.00000E+00	0.00000E+00	2.12242E+00
1.60000E+02	0.00000E+00	0.00000E+00	2.12926E+00
1.61000E+02	0.00000E+00	0.00000E+00	2.15618E+00
1.62000E+02	0.00000E+00	0.00000E+00	2.18494E+00
1.63000E+02	0.00000E+00	0.00000E+00	2.16506E+00
1.64000E+02	0.00000E+00	0.00000E+00	2.15588E+00
1.65000E+02	0.00000E+00	0.00000E+00	2.16373E+00
1.66000E+02	0.00000E+00	0.00000E+00	2.15159E+00
1.67000E+02	0.00000E+00	0.00000E+00	2.14955E+00
1.68000E+02	0.00000E+00	0.00000E+00	2.14405E+00
1.69000E+02	0.00000E+00	0.00000E+00	2.13660E+00
1.70000E+02	0.00000E+00	0.00000E+00	2.13150E+00
1.71000E+02	0.00000E+00	0.00000E+00	2.13558E+00
1.72000E+02	0.00000E+00	0.00000E+00	2.14262E+00
1.73000E+02	0.00000E+00	0.00000E+00	2.14996E+00
1.74000E+02	0.00000E+00	0.00000E+00	2.15904E+00
1.75000E+02	0.00000E+00	0.00000E+00	2.16699E+00
1.76000E+02	0.00000E+00	0.00000E+00	2.16475E+00
1.77000E+02	0.00000E+00	0.00000E+00	2.12783E+00
1.78000E+02	0.00000E+00	0.00000E+00	2.14639E+00
1.79000E+02	0.00000E+00	0.00000E+00	2.14996E+00
1.80000E+02	0.00000E+00	0.00000E+00	2.11814E+00
1.81000E+02	0.00000E+00	0.00000E+00	2.11855E+00
1.82000E+02	0.00000E+00	0.00000E+00	2.11896E+00
1.83000E+02	0.00000E+00	0.00000E+00	2.12793E+00
1.84000E+02	0.00000E+00	0.00000E+00	2.13395E+00
1.85000E+02	0.00000E+00	0.00000E+00	2.13874E+00
1.86000E+02	0.00000E+00	0.00000E+00	2.14904E+00
1.87000E+02	0.00000E+00	0.00000E+00	2.16363E+00
1.88000E+02	0.00000E+00	0.00000E+00	2.17454E+00
1.89000E+02	0.00000E+00	0.00000E+00	2.17658E+00
1.90000E+02	0.00000E+00	0.00000E+00	2.17424E+00
1.91000E+02	0.00000E+00	0.00000E+00	2.17515E+00
1.92000E+02	0.00000E+00	0.00000E+00	2.17842E+00
1.93000E+02	0.00000E+00	0.00000E+00	2.18382E+00
1.94000E+02	0.00000E+00	0.00000E+00	2.19321E+00
1.95000E+02	0.00000E+00	0.00000E+00	2.19463E+00
1.96000E+02	0.00000E+00	0.00000E+00	2.19606E+00
1.97000E+02	0.00000E+00	0.00000E+00	2.19861E+00
1.98000E+02	0.00000E+00	0.00000E+00	2.20096E+00
1.99000E+02	0.00000E+00	0.00000E+00	2.19137E+00
2.00000E+02	0.00000E+00	0.00000E+00	2.19106E+00
2.01000E+02	0.00000E+00	0.00000E+00	2.19004E+00
2.02000E+02	0.00000E+00	0.00000E+00	2.18331E+00
2.03000E+02	0.00000E+00	0.00000E+00	2.19443E+00
2.04000E+02	0.00000E+00	0.00000E+00	2.19790E+00
2.05000E+02	0.00000E+00	0.00000E+00	2.22238E+00
2.06000E+02	0.00000E+00	0.00000E+00	2.22564E+00
2.07000E+02	0.00000E+00	0.00000E+00	2.23003E+00
2.08000E+02	0.00000E+00	0.00000E+00	2.24155E+00
2.09000E+02	0.00000E+00	0.00000E+00	2.25665E+00
2.10000E+02	0.00000E+00	0.00000E+00	2.26899E+00
2.11000E+02	0.00000E+00	0.00000E+00	2.27286E+00
2.12000E+02	0.00000E+00	0.00000E+00	2.27908E+00
2.13000E+02	0.00000E+00	0.00000E+00	2.28327E+00
2.14000E+02	0.00000E+00	0.00000E+00	2.27990E+00
2.15000E+02	0.00000E+00	0.00000E+00	2.26368E+00
2.16000E+02	0.00000E+00	0.00000E+00	2.25603E+00
2.17000E+02	0.00000E+00	0.00000E+00	2.24981E+00
2.18000E+02	0.00000E+00	0.00000E+00	2.23370E+00
2.19000E+02	0.00000E+00	0.00000E+00	2.22482E+00
2.20000E+02	0.00000E+00	0.00000E+00	2.22136E+00
2.21000E+02	0.00000E+00	0.00000E+00	2.21207E+00
2.22000E+02	0.00000E+00	0.00000E+00	2.20677E+00
2.23000E+02	0.00000E+00	0.00000E+00	2.19790E+00
2.24000E+02	0.00000E+00	0.00000E+00	2.19331E+00
2.25000E+02	0.00000E+00	0.00000E+00	2.18923E+00
2.26000E+02	0.00000E+00	0.00000E+00	2.18760E+00
2.27000E+02	0.00000E+00	0.00000E+00	2.18637E+00
2.28000E+02	0.00000E+00	0.00000E+00	2.19321E+00
2.29000E+02	0.00000E+00	0.00000E+00	2.19004E+00
2.30000E+02	0.00000E+00	0.00000E+00	2.19790E+00
2.31000E+02	0.00000E+00	0.00000E+00	2.21207E+00
2.32000E+02	0.00000E+00	0.00000E+00	2.21564E+00
2.33000E+02	0.00000E+00	0.00000E+00	2.23309E+00
2.34000E+02	0.00000E+00	0.00000E+00	2.23513E+00
2.35000E+02	0.00000E+00	0.00000E+00	2.24012E+00
2.36000E+02	0.00000E+00	0.00000E+00	2.23747E+00
2.37000E+02	0.00000E+00	0.00000E+00	2.25287E+00
2.38000E+02	0.00000E+00	0.00000E+00	2.25114E+00
2.39000E+02	0.00000E+00	0.00000E+00	2.25134E+00
2.40000E+02	0.00000E+00	0.00000E+00	2.25308E+00
2.41000E+02	0.00000E+00	0.00000E+00	2.24716E+00
2.42000E+02	0.00000E+00	0.00000E+00	2.24216E+00
2.43000E+02	0.00000E+00	0.00000E+00	2.23778E+00
2.44000E+02	0.00000E+00	0.00000E+00	2.22645E+00
2.45000E+02	0.00000E+00	0.00000E+00	2.21493E+00
2.46000E+02	0.00000E+00	0.00000E+00	2.21034E+00
2.47000E+02	0.00000E+00	0.00000E+00	2.20749E+00
