=== Sun Jul 27 11:23:20 PM EDT 2025 ===
Linux 6.8.0-63-generic (dewey-ubuntu) 	07/27/2025 	_x86_64_	(20 CPU)

11:23:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:23:21 PM  all   34.92    0.00    4.26    0.10    0.00    0.05    0.00    0.00    0.00   60.66
11:23:21 PM    0   24.49    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   71.43
11:23:21 PM    1   42.42    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   52.53
11:23:21 PM    2    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
11:23:21 PM    3   64.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   31.00
11:23:21 PM    4   41.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
11:23:21 PM    5   27.27    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   71.72
11:23:21 PM    6   14.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
11:23:21 PM    7   53.92    0.00    1.96    0.98    0.00    0.00    0.00    0.00    0.00   43.14
11:23:21 PM    8   11.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
11:23:21 PM    9   58.59    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   39.39
11:23:21 PM   10   10.89    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   85.15
11:23:21 PM   11   57.43    0.00    2.97    0.00    0.00    0.00    0.00    0.00    0.00   39.60
11:23:21 PM   12   22.00    0.00    8.00    1.00    0.00    0.00    0.00    0.00    0.00   69.00
11:23:21 PM   13   35.35    0.00    6.06    0.00    0.00    1.01    0.00    0.00    0.00   57.58
11:23:21 PM   14   38.38    0.00    6.06    0.00    0.00    0.00    0.00    0.00    0.00   55.56
11:23:21 PM   15   66.67    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   26.26
11:23:21 PM   16   21.21    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   75.76
11:23:21 PM   17    6.06    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   88.89
11:23:21 PM   18   53.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
11:23:21 PM   19   46.46    0.00    7.07    0.00    0.00    0.00    0.00    0.00    0.00   46.46

Average:     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
Average:     all   34.92    0.00    4.26    0.10    0.00    0.05    0.00    0.00    0.00   60.66
Average:       0   24.49    0.00    4.08    0.00    0.00    0.00    0.00    0.00    0.00   71.43
Average:       1   42.42    0.00    5.05    0.00    0.00    0.00    0.00    0.00    0.00   52.53
Average:       2    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
Average:       3   64.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   31.00
Average:       4   41.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   54.00
Average:       5   27.27    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   71.72
Average:       6   14.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
Average:       7   53.92    0.00    1.96    0.98    0.00    0.00    0.00    0.00    0.00   43.14
Average:       8   11.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
Average:       9   58.59    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   39.39
