procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  1      0 34387120 1298132 26474900    0    0    10   273 4426    3  4  0 96  0  0  0
12  0      0 34103692 1298132 26474956    0    0     0  2926 16393 27853 43  3 55  0  0  0
13  0      0 34086744 1298132 26474960    0    0     0   418 14522 7429 51  1 47  0  0  0
12  0      0 34086740 1298132 26474980    0    0     0   122 13726 6050 52  1 48  0  0  0
12  0      0 34088396 1298132 26474988    0    0     0    88 13703 6344 51  1 49  0  0  0
13  0      0 34069468 1298132 26474976    0    0     0   274 15547 9964 52  1 47  0  0  0
13  0      0 34018396 1298132 26475008    0    0     0   188 16132 8496 59  1 40  0  0  0
12  0      0 34019256 1298132 26474996    0    0     0   110 14418 6857 52  1 47  0  0  0
12  0      0 34020236 1298132 26475016    0    0     0   102 13601 5773 51  1 49  0  0  0
14  0      0 34023688 1298132 26475024    0    0     0    84 13862 6712 51  1 48  0  0  0
11  1      0 34027528 1298132 26475052    0    0     0   306 15316 9643 52  1 47  0  0  0
10  0      0 34033056 1298132 26475064    0    0     0   102 14368 7407 51  1 48  0  0  0
11  0      0 34041424 1298132 26475080    0    0     0    80 14142 6708 52  1 47  0  0  0
10  0      0 34030232 1298132 26475116    0    0     0   150 14345 7017 51  1 48  0  0  0
10  0      0 34025916 1298132 26475124    0    0     0   124 13894 6733 51  1 48  0  0  0
11  1      0 34019820 1298132 26475144    0    0     0   286 15570 9671 52  1 47  0  0  0
13  0      0 34016364 1298132 26475152    0    0     0  1630 14244 6937 51  1 49  0  0  0
10  0      0 34018520 1298132 26475172    0    0     0    88 14156 6758 52  1 47  0  0  0
10  0      0 34081400 1298132 26475188    0    0     0   118 16842 6921 52  1 47  0  0  0
10  0      0 34118856 1298132 26475200    0    0     0    82 14500 6429 52  1 48  0  0  0
11  1      0 34123736 1298132 26475244    0    0     0   336 15866 10022 52  1 46  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  0      0 34130788 1298132 26475264    0    0     0   218 14249 6891 51  1 48  0  0  0
10  0      0 34131412 1298132 26475276    0    0     0    76 14145 6441 52  1 47  0  0  0
10  0      0 34130128 1298132 26475288    0    0     0   104 13940 6388 51  1 48  0  0  0
10  0      0 34127368 1298132 26475304    0    0     0    84 13791 6518 51  1 48  0  0  0
11  1      0 34128180 1298132 26475332    0    0     0   210 15149 9323 52  1 47  0  0  0
10  0      0 34121648 1298132 26475340    0    0     0   184 14432 7634 51  1 48  0  0  0
13  0      0 34123636 1298132 26475356    0    0     0    78 13857 6668 51  1 48  0  0  0
10  0      0 34121832 1298132 26475408    0    0     0   152 14235 6841 51  1 48  0  0  0
10  0      0 34124248 1298132 26475404    0    0     0   114 14168 7290 51  1 48  0  0  0
11  1      0 34122972 1298132 26475424    0    0     0   158 15492 10034 52  1 47  0  0  0
